cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec
Autódromo Internacional do Algarve,Portimão,Portugal,Grand Prix Circuit (2008–present),4.653 km,2020,Lewis Hamilton,78.75
Autódromo Internacional do Algarve,Portimão,Portugal,Motorcycling Circuit (2008–present),4.592 km,NULL,NULL,NULL
Autódromo Internacional do Algarve,Portimão,Portugal,GP Circuit with Chicane (2008–2019),4.684 km,NULL,NULL,NULL
Red Bull Ring,Spielberg,Austria,Red Bull Ring Grand Prix Circuit(2025),4.326 km,2025,Oscar Piastri,67.924
Red Bull Ring,Spielberg,Austria,Red Bull Ring Grand Prix Circuit(August 2016–2024),4.318 km,2020,Carlos Sainz Jr.,65.619
Red Bull Ring,Spielberg,Austria,Red Bull Ring Motorcycle Circuit(2022–present),4.348 km,NULL,NULL,NULL
Red Bull Ring,Spielberg,Austria,Südschleife National Circuit (1996–present)[3],2.336 km,NULL,NULL,NULL
Red Bull Ring,Spielberg,Austria,Red Bull Ring (May 2011–July 2016)A1-Ring (1996–2004),4.326 km,2003,Michael Schumacher,68.337
Red Bull Ring,Spielberg,Austria,Österreichring(Bosch Kurve modified) (1988–1995),5.852 km,NULL,NULL,NULL
Red Bull Ring,Spielberg,Austria,Österreichring(with Hella Licht chicane) (1977–1987),5.941 km,1987,Nigel Mansell,88.318
Red Bull Ring,Spielberg,Austria,Österreichring(Original Circuit) (1969–1976),5.911 km,NULL,NULL,NULL
Reims-Gueux,Reims,France,Grand Prix Circuit (1954–1972),8.302 km,NULL,NULL,NULL
Reims-Gueux,Reims,France,Grand Prix Circuit (1953),8.372 km,NULL,NULL,NULL
Reims-Gueux,Reims,France,Grand Prix Circuit (1952),7.152 km,NULL,NULL,NULL
Reims-Gueux,Reims,France,Original Circuit (1926–1951),7.826 km,1951,Juan Manuel Fangio,147.8
Circuit Paul Ricard,Le Castellet,France,Current layout with Mistral chicane (1C-V2)(2005–present),5.842 km,2019,Sebastian Vettel,92.74
Circuit Paul Ricard,Le Castellet,France,Current layout without Mistral chicane (1A-V2)(2005–present),5.770 km,NULL,NULL,NULL
Circuit Paul Ricard,Le Castellet,France,Short Circuit with Mistral chicane (3C)(2002–present),3.841 km,NULL,NULL,NULL
Circuit Paul Ricard,Le Castellet,France,Short Grand Prix Circuit (1986–2001),3.812 km,1990,Nigel Mansell,68.012
Circuit Paul Ricard,Le Castellet,France,Original Grand Prix Circuit (1970–2001),5.809 km,1985,Keke Rosberg,99.914
Circuit Paul Ricard,Le Castellet,France,Original National Circuit (1970–2001),3.263 km,NULL,NULL,NULL
Riverside International Raceway,California,USA,Long Grand Prix Road Course (1969–1989),3.300 mi,NULL,NULL,NULL
Riverside International Raceway,California,USA,Sports Car Short Course (1969–1989),2.547 mi,NULL,NULL,NULL
Riverside International Raceway,California,USA,Original Grand Prix Road Course (1957–1968),3.250 mi,NULL,NULL,NULL
Riverside International Raceway,California,USA,Sports Car Short Course (1957–1968),2.595 mi,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Grand Prix Circuit (2015–present)[2],4.304 km,2021,Valtteri Bottas,77.774
Autódromo Hermanos Rodríguez,Mexico City,Mexico,"Formula E Circuit (2020–2022, 2026)",2.606 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,National Circuit (2015–present),3.909 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Oval Circuit (1962–present),1.609 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Formula E Circuit (2023–2025),2.628 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Formula E Circuit (2017–2019),2.093 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Original Formula E Circuit (2016),2.091 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Grand Prix Circuit (1986–2014),4.421 km,1991,Nigel Mansell,76.788
Autódromo Hermanos Rodríguez,Mexico City,Mexico,NASCAR Circuit (2007–2014),4.053 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Champ Car Grand Prix Circuit (2006–2007),4.463 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,NASCAR Circuit (2005–2006),4.052 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,CART/Champ Car Grand Prix Circuit (2002–2005),4.484 km,NULL,NULL,NULL
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Original Grand Prix Circuit (1959–1985),5.000 km,1969,Jacky Ickx,103.05
Autódromo Hermanos Rodríguez,Mexico City,Mexico,Original Short Circuit (1959–1985),3.991 km,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,GP Road Course (8th variation) (1999–present),3.740 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,School Circuit (1998–present),2.000 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,Johnson Club Circuit (1998–present),1.700 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,7th variation (1996–1998),3.600 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,6th variation (1991–1995),3.700 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,5th variation (1987–1990),4.110 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,4th variation (1984–1986),4.860 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,3rd variation (1983),4.750 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,2nd variation (1967–1982),5.200 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,Original short road course (1969–1970),2.200 mi,NULL,NULL,NULL
Sebring International Raceway,Florida,USA,1st variation (1952–1966),5.192 mi,NULL,NULL,NULL
Sepang International Circuit,Kuala Lumpur,Malaysia,Grand Prix Circuit (1999–present),5.543 km,2017,Sebastian Vettel,94.08
Sepang International Circuit,Kuala Lumpur,Malaysia,North Circuit (1999–present),2.706 km,NULL,NULL,NULL
Shanghai International Circuit,Shanghai,China,Grand Prix Circuit (2004–present),5.451 km,2004,Michael Schumacher,92.238
Shanghai International Circuit,Shanghai,China,Motorcycle Grand Prix Circuit (2004–present),5.281 km,NULL,NULL,NULL
Shanghai International Circuit,Shanghai,China,Intermediate Circuit (2004–present),4.603 km,NULL,NULL,NULL
Shanghai International Circuit,Shanghai,China,West Long Circuit (2012–present),3.051 km,NULL,NULL,NULL
Silverstone Circuit,Silverstone,UK,Arena Grand Prix Circuit (2011–present),5.891 [ 2 ] km,2020,Max Verstappen,87.097
Silverstone Circuit,Silverstone,UK,Motorcycle Circuit (2010–present),5.900 km,NULL,NULL,NULL
Silverstone Circuit,Silverstone,UK,Arena Grand Prix Circuit (2010)[3],5.901 km,2010,Fernando Alonso,90.874
Silverstone Circuit,Silverstone,UK,International Circuit (2010–present),2.979 km,NULL,NULL,NULL
Silverstone Circuit,Silverstone,UK,National Circuit (1997–present),2.639 km,2004,Scott Mansell,47.404
Silverstone Circuit,Silverstone,UK,Bridge Grand Prix Circuit (1997–2010),5.141 km,2004,Michael Schumacher,78.739
Silverstone Circuit,Silverstone,UK,Bridge Grand Prix Circuit (1996),5.072 km,1996,Jacques Villeneuve,89.288
Silverstone Circuit,Silverstone,UK,Bridge Grand Prix Circuit with Copse tightened and Abbey chicane (1994–1995),5.057 km,1994,Damon Hill,87.1
Silverstone Circuit,Silverstone,UK,Bridge Grand Prix Circuit (1991–1994),5.226 km,1993,Damon Hill,82.515
Silverstone Circuit,Silverstone,UK,Grand Prix Circuit with Bridge chicane (1987–1990),4.778 km,1987,Nigel Mansell,69.832
Silverstone Circuit,Silverstone,UK,Grand Prix Circuit (1975–1986),4.719 km,1985,Alain Prost,69.866
Silverstone Circuit,Silverstone,UK,Grand Prix Circuit (1952–1974)Motorcycling Circuit (1952–1986),4.711 km,1973,Ronnie Peterson,77.5
Silverstone Circuit,Silverstone,UK,Grand Prix Circuit (1949–1951),4.649 km,1951,Nino Farina,104.0
Silverstone Circuit,Silverstone,UK,Original Grand Prix Circuit (1948),5.907 km,NULL,NULL,NULL
Sochi Autodrom,Sochi,Russia,Permanent Circuit (2024–present),2.313 km,NULL,NULL,NULL
Sochi Autodrom,Sochi,Russia,Grand Prix Circuit (2014–2023),5.848 km,2019,Lewis Hamilton,95.761
Circuit de Spa-Francorchamps,Spa,Belgium,Grand Prix Circuit (2007–present),7.004 km,2024,Sergio Pérez,104.701
Circuit de Spa-Francorchamps,Spa,Belgium,Motorcycle Circuit (2022–present),6.985 km,NULL,NULL,NULL
Circuit de Spa-Francorchamps,Spa,Belgium,Grand Prix Circuit (2004–2006),6.976 km,2004,Kimi Räikkönen,105.108
Circuit de Spa-Francorchamps,Spa,Belgium,Grand Prix Circuit (1995–2003),6.968 km,2002,Michael Schumacher,107.176
Circuit de Spa-Francorchamps,Spa,Belgium,Grand Prix Circuit with chicane at Eau Rouge (1994),7.001 km,1994,Damon Hill,117.117
Circuit de Spa-Francorchamps,Spa,Belgium,Grand Prix Circuit (1981–1993),6.940 km,1993,Alain Prost,111.095
Circuit de Spa-Francorchamps,Spa,Belgium,Grand Prix Circuit (1979–1980),6.947 km,NULL,NULL,NULL
Circuit de Spa-Francorchamps,Spa,Belgium,Old Circuit (1957–1978),14.100 km,NULL,NULL,NULL
Circuit de Spa-Francorchamps,Spa,Belgium,Old Circuit (1939–1956),14.120 km,1956,Stirling Moss,254.7
Circuit de Spa-Francorchamps,Spa,Belgium,Original Pre-War Circuit (1921–1938),14.982 km,NULL,NULL,NULL
Suzuka Circuit,Suzuka,Japan,Grand Prix Circuit (2003–present),5.807 km,2025,Andrea Kimi Antonelli,90.965
Suzuka Circuit,Suzuka,Japan,Motorcycle Grand Prix Circuit (2004–present),5.821 km,NULL,NULL,NULL
Suzuka Circuit,Suzuka,Japan,East Circuit (1987–present),2.243 km,NULL,NULL,NULL
Suzuka Circuit,Suzuka,Japan,West Circuit (1987–present),3.466 km,NULL,NULL,NULL
Suzuka Circuit,Suzuka,Japan,Motorcycle Grand Prix Circuit (2003),5.824 km,NULL,NULL,NULL
Suzuka Circuit,Suzuka,Japan,Grand Prix Circuit (2002),5.821 km,2002,Michael Schumacher,96.125
Suzuka Circuit,Suzuka,Japan,Grand Prix Circuit (1987–2001),5.860 km,2001,Ralf Schumacher,96.944
Suzuka Circuit,Suzuka,Japan,Grand Prix Circuit (1983–1986),5.945 km,NULL,NULL,NULL
Suzuka Circuit,Suzuka,Japan,Original Circuit (1962–1982),6.004 km,NULL,NULL,NULL
Circuit Mont-Tremblant,Quebec,Canada,Road Course (2004–present),2.621 mi,NULL,NULL,NULL
Circuit Mont-Tremblant,Quebec,Canada,North Course (2002–present),1.529 mi,NULL,NULL,NULL
Circuit Mont-Tremblant,Quebec,Canada,Road Course (1965–2002),2.650 mi,NULL,NULL,NULL
Circuit Mont-Tremblant,Quebec,Canada,Original North Road Course (1964–2002),1.560 mi,NULL,NULL,NULL
Valencia Street Circuit,Valencia,Spain,Grand Prix Circuit (2008–2012),5.419 km,2009,Timo Glock,98.683
Circuit Gilles Villeneuve,Montreal,Canada,Grand Prix Circuit (2002–present),4.361 km,NULL,NULL,NULL
Circuit Gilles Villeneuve,Montreal,Canada,Grand Prix Circuit (1996–2001),4.421 km,NULL,NULL,NULL
Circuit Gilles Villeneuve,Montreal,Canada,Grand Prix Circuit (1994–1995),4.450 km,NULL,NULL,NULL
Circuit Gilles Villeneuve,Montreal,Canada,Grand Prix Circuit (1988–1993),4.430 km,NULL,NULL,NULL
Circuit Gilles Villeneuve,Montreal,Canada,Grand Prix Circuit (1978–1986),4.410 km,NULL,NULL,NULL
Watkins Glen,New York State,USA,Grand Prix Circuit (with Inner Loop Chicane) (1992–present),3.450 mi,NULL,NULL,NULL
Watkins Glen,New York State,USA,Short Circuit (with Inner Loop Chicane) (1992–present),2.450 mi,NULL,NULL,NULL
Watkins Glen,New York State,USA,Short Circuit (with Esses Chicane) (1979–1991),2.428 mi,NULL,NULL,NULL
Watkins Glen,New York State,USA,"Grand Prix Circuit (1971–1974, 1986–1991)",3.377 mi,NULL,NULL,NULL
Watkins Glen,New York State,USA,Grand Prix Circuit (with Esses Chicane) (1975–1985),3.377 mi,1980,Alan Jones,94.068
Watkins Glen,New York State,USA,Sports Car Circuit (1971),2.430 mi,NULL,NULL,NULL
Watkins Glen,New York State,USA,Original Grand Prix Circuit (1956–1970),2.350 mi,NULL,NULL,NULL
Watkins Glen,New York State,USA,Second Public Road Course (1953–1955),4.600 mi,NULL,NULL,NULL
Watkins Glen,New York State,USA,Original Public Road Course (1948–1952),6.600 mi,NULL,NULL,NULL
Yas Marina Circuit,Abu Dhabi,UAE,Grand Prix Circuit (2021–present),5.281 km,2024,Kevin Magnussen,85.637
Yas Marina Circuit,Abu Dhabi,UAE,Corkscrew Circuit (2021–present),4.572 km,NULL,NULL,NULL
Yas Marina Circuit,Abu Dhabi,UAE,North Circuit (2021–present),3.005 km,NULL,NULL,NULL
Yas Marina Circuit,Abu Dhabi,UAE,Grand Prix Circuit (2009–2021),5.554 km,2019,Lewis Hamilton,99.283
Yas Marina Circuit,Abu Dhabi,UAE,Corkscrew Circuit (2009–2021),4.730 km,NULL,NULL,NULL
Yas Marina Circuit,Abu Dhabi,UAE,North Circuit (2009–2021),3.130 km,NULL,NULL,NULL
Yas Marina Circuit,Abu Dhabi,UAE,South Circuit (2009–2021),2.360 km,NULL,NULL,NULL
Korean International Circuit,Yeongam County,Korea,Grand Prix Circuit (2010–present),5.615 km,2011,Sebastian Vettel,99.605
Korean International Circuit,Yeongam County,Korea,National Circuit (2010–present),3.045 km,NULL,NULL,NULL
Circuit Park Zandvoort,Zandvoort,Netherlands,Grand Prix Circuit (2020–present),4.259 km,2021,Lewis Hamilton,71.097
Circuit Park Zandvoort,Zandvoort,Netherlands,Grand Prix Circuit (1999–2019),4.307 km,2019,Klaas Zwart [ de ],81.044
Circuit Park Zandvoort,Zandvoort,Netherlands,Club Circuit (1990–1998),2.526 km,NULL,NULL,NULL
Circuit Park Zandvoort,Zandvoort,Netherlands,Grand Prix Circuit (1980–1989),4.252 km,1985,Alain Prost,76.538
Circuit Park Zandvoort,Zandvoort,Netherlands,Grand Prix Circuit (1972–1979),4.226 km,1979,Gilles Villeneuve,79.438
Circuit Park Zandvoort,Zandvoort,Netherlands,Grand Prix Circuit (1948–1971),4.193 km,1970,Jacky Ickx,79.23
Zeltweg,Styria,Austria,Grand Prix Circuit (1957–1968),3.186 km,NULL,NULL,NULL
Zolder,Heusden-Zolder,Belgium,Grand Prix Circuit (2002–present),4.010 km,NULL,NULL,NULL
Zolder,Heusden-Zolder,Belgium,Grand Prix Circuit (1986–2001),4.184 km,NULL,NULL,NULL
Zolder,Heusden-Zolder,Belgium,Grand Prix Circuit (1975–1985),4.262 km,1984,René Arnoux,79.294
Zolder,Heusden-Zolder,Belgium,Grand Prix Circuit (1973–1974),4.220 km,NULL,NULL,NULL
Zolder,Heusden-Zolder,Belgium,Original Grand Prix Circuit (1963–1972),4.186 km,NULL,NULL,NULL
