cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit (2023–present),1.645 mi,NULL,NULL,NULL
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit (1983–1991),2.500 mi,1987,Ayrton Senna,100.464
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit (1982),2.590 mi,1982,Alain Prost,110.438
Dijon-Prenois,Dijon,France,Grand Prix Circuit (1976–present),3.801 km,2015,Ingo Gerstl,62.985
Dijon-Prenois,Dijon,France,Short Circuit (1972–present),3.289 km,1974,Jody Scheckter,60.0
Donington Park,Castle Donington,UK,Grand Prix Circuit (1986–present),4.020 km,NULL,NULL,NULL
Donington Park,Castle Donington,UK,National Circuit with realigned Goddards Chicane (2010–present),3.149 km,2011,Marijn van Kalmthout,57.221
Donington Park,Castle Donington,UK,National Circuit (1977–2009),3.149 km,2004,Scott Mansell,55.859
Donington Park,Castle Donington,UK,Grand Prix Circuit (1937–1939),5.029 km,NULL,NULL,NULL
Donington Park,Castle Donington,UK,Grand Prix Circuit (1935–1936),4.107 km,NULL,NULL,NULL
Donington Park,Castle Donington,UK,Original Circuit (1931–1934),3.518 km,NULL,NULL,NULL
Rouen-Les-Essarts,Rouen,France,Grand Prix Circuit (1972–1994),5.543 km,NULL,NULL,NULL
Rouen-Les-Essarts,Rouen,France,Grand Prix Circuit (1955–1971),6.542 km,NULL,NULL,NULL
Rouen-Les-Essarts,Rouen,France,Original Grand Prix Circuit (1950–1954),5.100 km,1954,Maurice Trintignant,129.9
Autódromo do Estoril,Estoril,Portugal,Grand Prix Circuit (2000–present),4.182 km,NULL,NULL,NULL
Autódromo do Estoril,Estoril,Portugal,Tanque Circuit (2018–present),4.163 km,NULL,NULL,NULL
Autódromo do Estoril,Estoril,Portugal,Grand Prix Circuit (1994–1999),4.360 km,1994,David Coulthard,82.446
Autódromo do Estoril,Estoril,Portugal,Superbike Circuit (1993),4.520 km,NULL,NULL,NULL
Autódromo do Estoril,Estoril,Portugal,Grand Prix Circuit (1972–1993),4.349 km,1993,Damon Hill,74.859
Autódromo do Estoril,Estoril,Portugal,Perimeter Circuit (1972–1999),2.942 km,NULL,NULL,NULL
Fuji Speedway,Oyama,Japan,4th and current configuration (2005–present),4.563 km,2008,Felipe Massa,78.426
Fuji Speedway,Oyama,Japan,3rd configuration (September 1987–2003),4.400 km,NULL,NULL,NULL
Fuji Speedway,Oyama,Japan,2nd configuration (1975–August 1987),4.359 km,1977,Jody Scheckter,74.3
Fuji Speedway,Oyama,Japan,Original Circuit (1965–1974),5.999 km,NULL,NULL,NULL
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 6 circuit with Senna S (1995–2026),4.259 km,1997,Gerhard Berger,87.981
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 6 circuit (1972–2026),4.101 km,NULL,NULL,NULL
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 15 circuit (1972–2026),5.968 km,1981,Nelson Piquet,105.287
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 12 circuit (1972–2026),5.651 km,NULL,NULL,NULL
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 9 circuit (1972–2026),3.353 km,NULL,NULL,NULL
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 8 circuit (1972–2026),3.380 km,NULL,NULL,NULL
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 5 circuit (1972–2026),2.115 km,NULL,NULL,NULL
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 7 circuit (1972–2026),2.607 km,NULL,NULL,NULL
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 14 circuit (1968–1971),6.122 km,NULL,NULL,NULL
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 2 circuit (1952–1971),3.912 km,1960,Stirling Moss,96.1
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 4 circuit (1952–1971),4.706 km,NULL,NULL,NULL
Prince George Circuit,Eastern Cape Province,South Africa,Grand Prix Circuit (1959–present),3.920 km,1968,John Love,84.3
Hockenheimring,Hockenheim,Germany,Grand Prix Circuit (2002–present),4.574 km,2004,Kimi Räikkönen,73.78
Hockenheimring,Hockenheim,Germany,National Circuit (2002–present),3.736 km,NULL,NULL,NULL
Hockenheimring,Hockenheim,Germany,Short Circuit (1966–2001),2.638 km,2001,Josef Neuhauser,57.45
Hockenheimring,Hockenheim,Germany,Hockenheimring (1994–2001),6.823 km,2001,Juan Pablo Montoya,101.808
Hockenheimring,Hockenheim,Germany,Hockenheimring (1992–1993),6.815 km,1992,Riccardo Patrese,101.591
Hockenheimring,Hockenheim,Germany,Hockenheimring (1982–1991),6.802 km,1991,Riccardo Patrese,103.569
Hockenheimring,Hockenheim,Germany,Hockenheimring (1970–1981),6.790 km,1980,Alan Jones,108.49
