cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec,cDates,circuitID,Error
Fair Park,Dallas,USA,Trans-Am Circuit,2.092 km,NULL,NULL,NULL,1988,53,
Fair Park,Dallas,USA,Grand Prix Circuit,3.901 km,NULL,NULL,NULL,1984,54,
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit,2.647 km,NULL,NULL,NULL,2023-2026,55,
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit,4.023 km,1987,608,100.464,1983-1991,56,
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit,4.168 km,1982,533,110.438,1982,57,
Dijon-Prenois,Dijon,France,Grand Prix Circuit,3.801 km,2015,Ingo Gerstl,62.985,1976-2026,58,Pilote_Introuvable
Dijon-Prenois,Dijon,France,Short Circuit,3.289 km,1974,589,60.0,1972-2026,59,
Donington Park,Castle Donington,UK,Grand Prix Circuit,4.020 km,NULL,NULL,NULL,1986-2026,60,
Donington Park,Castle Donington,UK,National Circuit with realigned Goddards Chicane,3.149 km,2011,Marijn van Kalmthout,57.221,2010-2026,61,Pilote_Introuvable
Donington Park,Castle Donington,UK,National Circuit,3.149 km,2004,Scott Mansell,55.859,1977-2009,62,Pilote_Introuvable
Donington Park,Castle Donington,UK,Grand Prix Circuit,5.029 km,NULL,NULL,NULL,1937-1939,63,
Donington Park,Castle Donington,UK,Grand Prix Circuit,4.107 km,NULL,NULL,NULL,1935-1936,64,
Donington Park,Castle Donington,UK,Original Circuit,3.518 km,NULL,NULL,NULL,1931-1934,65,
Rouen-Les-Essarts,Rouen,France,Grand Prix Circuit,5.543 km,NULL,NULL,NULL,1972-1994,66,
Rouen-Les-Essarts,Rouen,France,Grand Prix Circuit,6.542 km,NULL,NULL,NULL,1955-1971,67,
Rouen-Les-Essarts,Rouen,France,Original Grand Prix Circuit,5.100 km,1954,668,129.9,1950-1954,68,
Autódromo do Estoril,Estoril,Portugal,Grand Prix Circuit,4.182 km,NULL,NULL,NULL,2000-2026,69,
Autódromo do Estoril,Estoril,Portugal,Tanque Circuit,4.163 km,NULL,NULL,NULL,2018-2026,70,
Autódromo do Estoril,Estoril,Portugal,Grand Prix Circuit,4.360 km,1994,157,82.446,1994-1999,71,
Autódromo do Estoril,Estoril,Portugal,Superbike Circuit,4.520 km,NULL,NULL,NULL,1993,72,
Autódromo do Estoril,Estoril,Portugal,Grand Prix Circuit,4.349 km,1993,318,74.859,1972-1993,73,
Autódromo do Estoril,Estoril,Portugal,Perimeter Circuit,2.942 km,NULL,NULL,NULL,1972-1999,74,
Fuji Speedway,Oyama,Japan,4th and current configuration,4.563 km,2008,430,78.426,2005-2026,75,
Fuji Speedway,Oyama,Japan,3rd configuration (September 1987–2003),4.400 km,NULL,NULL,NULL,,76,
Fuji Speedway,Oyama,Japan,2nd configuration (1975–August 1987),4.359 km,1977,589,74.3,,77,
Fuji Speedway,Oyama,Japan,Original Circuit,5.999 km,NULL,NULL,NULL,1965-1974,78,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 6 circuit with Senna S,4.259 km,1997,68,87.981,1995-2026,79,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 6 circuit,4.101 km,NULL,NULL,NULL,1972-2026,80,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 15 circuit,5.968 km,1981,520,105.287,1972-2026,81,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 12 circuit,5.651 km,NULL,NULL,NULL,1972-2026,82,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 9 circuit,3.353 km,NULL,NULL,NULL,1972-2026,83,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 8 circuit,3.380 km,NULL,NULL,NULL,1972-2026,84,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 5 circuit,2.115 km,NULL,NULL,NULL,1972-2026,85,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 7 circuit,2.607 km,NULL,NULL,NULL,1972-2026,86,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 14 circuit,6.122 km,NULL,NULL,NULL,1968-1971,87,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 2 circuit,3.912 km,1960,459,96.1,1952-1971,88,
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,No. 4 circuit,4.706 km,NULL,NULL,NULL,1952-1971,89,
Prince George Circuit,Eastern Cape Province,South Africa,Grand Prix Circuit,3.920 km,1968,404,84.3,1959-2026,90,
Hockenheimring,Hockenheim,Germany,Grand Prix Circuit,4.574 km,2004,539,73.78,2002-2026,91,
Hockenheimring,Hockenheim,Germany,National Circuit,3.736 km,NULL,NULL,NULL,2002-2026,92,
Hockenheimring,Hockenheim,Germany,Short Circuit,2.638 km,2001,Josef Neuhauser,57.45,1966-2001,93,Pilote_Introuvable
Hockenheimring,Hockenheim,Germany,Hockenheimring,6.823 km,2001,Juan Pablo Montoya,101.808,1994-2001,94,Pilote_Introuvable
Hockenheimring,Hockenheim,Germany,Hockenheimring,6.815 km,1992,500,101.591,1992-1993,95,
Hockenheimring,Hockenheim,Germany,Hockenheimring,6.802 km,1991,500,103.569,1982-1991,96,
Hockenheimring,Hockenheim,Germany,Hockenheimring,6.790 km,1980,349,108.49,1970-1981,97,
Hockenheimring,Hockenheim,Germany,Hockenheimring,6.769 km,NULL,NULL,NULL,1966-1970,98,
Hockenheimring,Hockenheim,Germany,Kurpfalzring,7.692 km,NULL,NULL,NULL,1938-1965,99,
Hungaroring,Budapest,Hungary,Grand Prix Circuit,4.381 km,2020,299,76.627,2003-2026,100,
Hungaroring,Budapest,Hungary,Modified Grand Prix Circuit,3.975 km,2002,600,76.207,1989-2002,101,
Hungaroring,Budapest,Hungary,Original Grand Prix Circuit,4.014 km,1987,520,90.149,1986-1988,102,
Autodromo Enzo e Dino Ferrari,Imola,Italy,Grand Prix Circuit,4.909 km,2020,299,75.484,2008-2026,103,
Autodromo Enzo e Dino Ferrari,Imola,Italy,Motorcycle Circuit,4.936 km,NULL,NULL,NULL,2009-2026,104,
Autodromo Enzo e Dino Ferrari,Imola,Italy,Grand Prix Circuit,4.959 km,2004,600,80.411,1995-2006,105,
Autodromo Enzo e Dino Ferrari,Imola,Italy,Grand Prix Circuit,5.040 km,1994,318,84.335,1980-1994,106,
Autodromo Enzo e Dino Ferrari,Imola,Italy,Grand Prix Circuit,5.060 km,1979,688,93.61,1973-1979,107,
Autodromo Enzo e Dino Ferrari,Imola,Italy,Original Grand Prix Circuit,5.018 km,NULL,NULL,NULL,1953-1972,108,
Indianapolis Motor Speedway,Indianapolis,USA,Rectangular Oval Track,4.023 km,NULL,NULL,NULL,1909-2026,109,
Indianapolis Motor Speedway,Indianapolis,USA,Grand Prix Road Course,3.925 km,NULL,NULL,NULL,2014-2026,110,
Indianapolis Motor Speedway,Indianapolis,USA,Modified Motorcycle Course,4.17 km,NULL,NULL,NULL,2014-2026,111,
Indianapolis Motor Speedway,Indianapolis,USA,SCCA Runoffs Road Course,4.166 km,NULL,NULL,NULL,2014-2026,112,
Indianapolis Motor Speedway,Indianapolis,USA,Original Motorcycle Course,4.218 km,NULL,NULL,NULL,2008-2013,113,
Indianapolis Motor Speedway,Indianapolis,USA,Grand Prix Road Course,4.078 km,NULL,NULL,NULL,2008-2013,114,
Indianapolis Motor Speedway,Indianapolis,USA,Grand Prix Road Course,4.192 km,2004,50,70.399,2000-2007,115,
Autódromo José Carlos Pace,São Paulo,Brazil,Grand Prix Circuit,4.309 km,2018,93,70.54,1999-2026,116,
Autódromo José Carlos Pace,São Paulo,Brazil,Stock Car Circuit with Chicane,4.314 km,NULL,NULL,NULL,2011-2017,117,
Autódromo José Carlos Pace,São Paulo,Brazil,Grand Prix Circuit,4.292 km,1997,689,78.397,1996-1998,118,
Autódromo José Carlos Pace,São Paulo,Brazil,Grand Prix Circuit,4.325 km,1994,600,78.455,1990-1995,119,
Autódromo José Carlos Pace,São Paulo,Brazil,Motorcycle Circuit,4.352 km,NULL,NULL,NULL,1992,120,
Autódromo José Carlos Pace,São Paulo,Brazil,Grand Prix Circuit,7.873 km,1980,29,147.311,1980-1989,121,
Autódromo José Carlos Pace,São Paulo,Brazil,Original Grand Prix Circuit,7.960 km,1979,370,148.76,1940-1979,122,
Istanbul Park,Istanbul,Turkey,Grand Prix Circuit,5.338 km,2005,Juan Pablo Montoya,84.77,2005-2026,123,Pilote_Introuvable
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Short Circuit,3.336 km,NULL,NULL,NULL,1996-2012,124,
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Modified Grand Prix Circuit,4.933 km,NULL,NULL,NULL,1996-2005,125,
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Emerson Fittipaldi Speedway,3.000 km,NULL,NULL,NULL,1996-2005,126,
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Original Grand Prix Circuit,5.031 km,1989,500,92.507,1978-1995,127,
Jarama,Madrid,Spain,Grand Prix Circuit,3.850 km,NULL,NULL,NULL,1991-2026,128,
Jarama,Madrid,Spain,Formula E Circuit,3.934 km,NULL,NULL,NULL,2026,129,
Jarama,Madrid,Spain,Grand Prix Circuit,3.314 km,1980,349,75.467,1980-1990,130,
Jarama,Madrid,Spain,Original Grand Prix Circuit,3.404 km,1979,688,76.44,1967-1979,131,
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Grand Prix Circuit,6.174 km,2021,299,90.734,2021-2026,132,
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Formula E Circuit,3.001 km,NULL,NULL,NULL,2025-2026,133,
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Short Circuit,3.450 km,NULL,NULL,NULL,2022-2026,134,
Circuito de Jerez,Jerez de la Frontera,Spain,Grand Prix Circuit,4.428 km,1997,245,83.135,1994-2026,135,
Circuito de Jerez,Jerez de la Frontera,Spain,Motorcycle Circuit  & Grand Prix Circuit,4.423 km,NULL,NULL,NULL,1992-1993,136,
Circuito de Jerez,Jerez de la Frontera,Spain,Grand Prix Circuit,4.218 km,1990,500,84.513,1985-1991,137,
Kyalami,Midrand,South Africa,Grand Prix Circuit,4.529 km,NULL,NULL,NULL,2015-2026,138,
