sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
1959,Monaco Grand Prix,Jack Brabham,1,9,3,100,RAS
1959,Monaco Grand Prix,Tony Brooks,2,6,4,100,RAS
1959,Monaco Grand Prix,Maurice Trintignant,3,4,6,98,RAS
1959,Monaco Grand Prix,Phil Hill,4,3,5,97,RAS
1959,Monaco Grand Prix,Bruce McLaren,5,2,13,96,RAS
1959,Monaco Grand Prix,Roy Salvadori,6,0,8,83,RAS
1959,Monaco Grand Prix,Stirling Moss,7,0,1,81,Transmission
1959,Monaco Grand Prix,Ron Flockhart,8,0,10,64,Spun off
1959,Monaco Grand Prix,Harry Schell,9,0,9,48,Accident
1959,Monaco Grand Prix,Jo Bonnier,10,0,7,44,Brakes
1959,Monaco Grand Prix,Jean Behra,11,0,2,24,Engine
1959,Monaco Grand Prix,Graham Hill,12,0,14,21,Heat shield fire
1959,Monaco Grand Prix,Masten Gregory,13,0,11,6,Gearbox
1959,Monaco Grand Prix,Wolfgang von Trips,14,0,12,1,Collision
1959,Monaco Grand Prix,Cliff Allison,15,0,15,1,Collision
1959,Monaco Grand Prix,Bruce Halford,16,0,16,1,Collision
1959,Indianapolis 500,Rodger Ward,1,8,6,200,RAS
1959,Indianapolis 500,Jim Rathmann,2,6,3,200,RAS
1959,Indianapolis 500,Johnny Thomson,3,5,1,200,RAS
1959,Indianapolis 500,Tony Bettenhausen,4,3,15,200,RAS
1959,Indianapolis 500,Paul Goldsmith,5,2,16,200,RAS
1959,Indianapolis 500,Johnny Boyd,6,0,11,200,RAS
1959,Indianapolis 500,Duane Carter,7,0,12,200,RAS
1959,Indianapolis 500,Eddie Johnson,8,0,8,200,RAS
1959,Indianapolis 500,Paul Russo,9,0,27,200,RAS
1959,Indianapolis 500,Anthony Foyt,10,0,17,200,RAS
1959,Indianapolis 500,Gene Hartley,11,0,9,200,RAS
1959,Indianapolis 500,Bob Veith,12,0,7,200,RAS
1959,Indianapolis 500,Al Herman,13,0,23,200,RAS
1959,Indianapolis 500,Jimmy Daywalt,14,0,13,200,RAS
1959,Indianapolis 500,Chuck Arnold,15,0,21,200,RAS
1959,Indianapolis 500,Jim McWithey,16,0,33,200,RAS
1959,Indianapolis 500,Eddie Sachs,17,0,2,182,Spun off
1959,Indianapolis 500,Al Keller,18,0,28,163,Engine
1959,Indianapolis 500,Pat Flaherty,19,0,18,162,Accident
1959,Indianapolis 500,Dick Rathmann,20,0,4,150,Heat shield fire
1959,Indianapolis 500,Bill Cheesbourg,21,0,30,147,Magneto
1959,Indianapolis 500,Don Freeland,22,0,25,136,Magneto
1959,Indianapolis 500,Ray Crawford,23,0,32,115,Accident
1959,Indianapolis 500,Don Branson,24,0,10,112,Suspension
1959,Indianapolis 500,Bob Christie,25,0,24,109,Engine
1959,Indianapolis 500,Bobby Grim,26,0,5,85,Magneto
1959,Indianapolis 500,Jack Turner,27,0,14,47,Fuel leak
1959,Indianapolis 500,Chuck Weyant,28,0,29,45,Accident
1959,Indianapolis 500,Jud Larson,29,0,19,45,Accident
1959,Indianapolis 500,Mike Magill,30,0,31,45,Accident
1959,Indianapolis 500,Red Amick,31,0,26,45,Accident
1959,Indianapolis 500,Len Sutton,32,0,22,34,Accident
1959,Indianapolis 500,Jimmy Bryan,33,0,20,1,Engine
1959,Dutch Grand Prix,Jo Bonnier,1,8,1,75,RAS
1959,Dutch Grand Prix,Jack Brabham,2,6,2,75,RAS
1959,Dutch Grand Prix,Masten Gregory,3,4,7,75,RAS
1959,Dutch Grand Prix,Innes Ireland,4,3,9,74,RAS
1959,Dutch Grand Prix,Jean Behra,5,2,4,74,RAS
1959,Dutch Grand Prix,Phil Hill,6,0,12,73,RAS
1959,Dutch Grand Prix,Graham Hill,7,0,5,73,RAS
1959,Dutch Grand Prix,Maurice Trintignant,8,0,11,73,RAS
1959,Dutch Grand Prix,Cliff Allison,9,0,15,71,RAS
1959,Dutch Grand Prix,Carel Godin de Beaufort,10,0,14,68,RAS
1959,Dutch Grand Prix,Stirling Moss,11,1,3,62,Gearbox
1959,Dutch Grand Prix,Harry Schell,12,0,6,46,Gearbox
1959,Dutch Grand Prix,Tony Brooks,13,0,8,42,Oil leak
1959,Dutch Grand Prix,Carroll Shelby,14,0,10,25,Engine
1959,Dutch Grand Prix,Roy Salvadori,15,0,13,3,Engine
1959,French Grand Prix,Tony Brooks,1,8,1,50,RAS
1959,French Grand Prix,Phil Hill,2,6,3,50,RAS
1959,French Grand Prix,Jack Brabham,3,4,2,50,RAS
1959,French Grand Prix,Olivier Gendebien,4,3,11,50,RAS
1959,French Grand Prix,Bruce McLaren,5,2,10,50,RAS
1959,French Grand Prix,Ron Flockhart,6,0,13,50,RAS
1959,French Grand Prix,Harry Schell,7,0,9,47,RAS
1959,French Grand Prix,Giorgio Scarlatti,8,0,21,41,RAS
1959,French Grand Prix,Carel Godin de Beaufort,9,0,20,40,RAS
1959,French Grand Prix,Fritz d'Orey,10,0,18,40,RAS
1959,French Grand Prix,Maurice Trintignant,11,0,8,36,RAS
1959,French Grand Prix,Stirling Moss,12,1,4,42,DQ
1959,French Grand Prix,Jean Behra,13,0,5,31,Engine
1959,French Grand Prix,Roy Salvadori,14,0,16,20,Engine
1959,French Grand Prix,Dan Gurney,15,0,12,19,Radiator
1959,French Grand Prix,Innes Ireland,16,0,15,14,Wheel
1959,French Grand Prix,Ian Burgess,17,0,19,13,Engine
1959,French Grand Prix,Masten Gregory,18,0,7,8,Physical
1959,French Grand Prix,Graham Hill,19,0,14,7,Radiator
1959,French Grand Prix,Colin Davis,20,0,17,7,Oil leak
1959,French Grand Prix,Jo Bonnier,21,0,6,6,Engine
1959,French Grand Prix,Azdrubal Fontes,22,0,0,0,Withdrew
1959,British Grand Prix,Jack Brabham,1,8,1,75,RAS
1959,British Grand Prix,Stirling Moss,2,6.5,7,75,RAS
1959,British Grand Prix,Bruce McLaren,3,4.5,8,75,RAS
1959,British Grand Prix,Harry Schell,4,3,3,74,RAS
1959,British Grand Prix,Maurice Trintignant,5,2,4,74,RAS
1959,British Grand Prix,Roy Salvadori,6,0,2,74,RAS
1959,British Grand Prix,Masten Gregory,7,0,5,73,RAS
1959,British Grand Prix,Alan Stacey,8,0,12,71,RAS
1959,British Grand Prix,Graham Hill,9,0,9,70,RAS
