sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
2024,Bahrain Grand Prix,Max Verstappen,1,26,1,57,RAS
2024,Bahrain Grand Prix,Sergio Pérez,2,18,5,57,RAS
2024,Bahrain Grand Prix,Carlos Sainz,3,15,4,57,RAS
2024,Bahrain Grand Prix,Charles Leclerc,4,12,2,57,RAS
2024,Bahrain Grand Prix,George Russell,5,10,3,57,RAS
2024,Bahrain Grand Prix,Lando Norris,6,8,7,57,RAS
2024,Bahrain Grand Prix,Lewis Hamilton,7,6,9,57,RAS
2024,Bahrain Grand Prix,Oscar Piastri,8,4,8,57,RAS
2024,Bahrain Grand Prix,Fernando Alonso,9,2,6,57,RAS
2024,Bahrain Grand Prix,Lance Stroll,10,1,12,57,RAS
2024,Bahrain Grand Prix,Guanyu Zhou,11,0,17,56,Lapped
2024,Bahrain Grand Prix,Kevin Magnussen,12,0,15,56,Lapped
2024,Bahrain Grand Prix,Daniel Ricciardo,13,0,14,56,Lapped
2024,Bahrain Grand Prix,Yuki Tsunoda,14,0,11,56,Lapped
2024,Bahrain Grand Prix,Alexander Albon,15,0,13,56,Lapped
2024,Bahrain Grand Prix,Nico Hülkenberg,16,0,10,56,Lapped
2024,Bahrain Grand Prix,Esteban Ocon,17,0,19,56,Lapped
2024,Bahrain Grand Prix,Pierre Gasly,18,0,20,56,Lapped
2024,Bahrain Grand Prix,Valtteri Bottas,19,0,16,56,Lapped
2024,Bahrain Grand Prix,Logan Sargeant,20,0,18,55,Lapped
2024,Saudi Arabian Grand Prix,Max Verstappen,1,25,1,50,RAS
2024,Saudi Arabian Grand Prix,Sergio Pérez,2,18,3,50,RAS
2024,Saudi Arabian Grand Prix,Charles Leclerc,3,16,2,50,RAS
2024,Saudi Arabian Grand Prix,Oscar Piastri,4,12,5,50,RAS
2024,Saudi Arabian Grand Prix,Fernando Alonso,5,10,4,50,RAS
2024,Saudi Arabian Grand Prix,George Russell,6,8,7,50,RAS
2024,Saudi Arabian Grand Prix,Oliver Bearman,7,6,11,50,RAS
2024,Saudi Arabian Grand Prix,Lando Norris,8,4,6,50,RAS
2024,Saudi Arabian Grand Prix,Lewis Hamilton,9,2,8,50,RAS
2024,Saudi Arabian Grand Prix,Nico Hülkenberg,10,1,15,50,RAS
2024,Saudi Arabian Grand Prix,Alexander Albon,11,0,12,50,RAS
2024,Saudi Arabian Grand Prix,Kevin Magnussen,12,0,13,50,RAS
2024,Saudi Arabian Grand Prix,Esteban Ocon,13,0,17,49,Lapped
2024,Saudi Arabian Grand Prix,Logan Sargeant,14,0,19,49,Lapped
2024,Saudi Arabian Grand Prix,Yuki Tsunoda,15,0,9,49,Lapped
2024,Saudi Arabian Grand Prix,Daniel Ricciardo,16,0,14,49,Lapped
2024,Saudi Arabian Grand Prix,Valtteri Bottas,17,0,16,49,Lapped
2024,Saudi Arabian Grand Prix,Guanyu Zhou,18,0,20,49,Lapped
2024,Saudi Arabian Grand Prix,Lance Stroll,19,0,10,5,DNF
2024,Saudi Arabian Grand Prix,Pierre Gasly,20,0,18,1,DNF
2024,Australian Grand Prix,Carlos Sainz,1,25,2,58,RAS
2024,Australian Grand Prix,Charles Leclerc,2,19,4,58,RAS
2024,Australian Grand Prix,Lando Norris,3,15,3,58,RAS
2024,Australian Grand Prix,Oscar Piastri,4,12,5,58,RAS
2024,Australian Grand Prix,Sergio Pérez,5,10,6,58,RAS
2024,Australian Grand Prix,Lance Stroll,6,8,9,58,RAS
2024,Australian Grand Prix,Yuki Tsunoda,7,6,8,58,RAS
2024,Australian Grand Prix,Fernando Alonso,8,4,10,58,RAS
2024,Australian Grand Prix,Nico Hülkenberg,9,2,16,58,RAS
2024,Australian Grand Prix,Kevin Magnussen,10,1,14,57,Lapped
2024,Australian Grand Prix,Alexander Albon,11,0,12,57,Lapped
2024,Australian Grand Prix,Daniel Ricciardo,12,0,18,57,Lapped
2024,Australian Grand Prix,Pierre Gasly,13,0,17,57,Lapped
2024,Australian Grand Prix,Valtteri Bottas,14,0,13,57,Lapped
2024,Australian Grand Prix,Guanyu Zhou,15,0,19,57,Lapped
2024,Australian Grand Prix,Esteban Ocon,16,0,15,57,Lapped
2024,Australian Grand Prix,George Russell,17,0,7,56,DNF
2024,Australian Grand Prix,Lewis Hamilton,18,0,11,15,DNF
2024,Australian Grand Prix,Max Verstappen,19,0,1,3,DNF
2024,Japanese Grand Prix,Max Verstappen,1,26,1,53,RAS
2024,Japanese Grand Prix,Sergio Pérez,2,18,2,53,RAS
2024,Japanese Grand Prix,Carlos Sainz,3,15,4,53,RAS
2024,Japanese Grand Prix,Charles Leclerc,4,12,8,53,RAS
2024,Japanese Grand Prix,Lando Norris,5,10,3,53,RAS
2024,Japanese Grand Prix,Fernando Alonso,6,8,5,53,RAS
2024,Japanese Grand Prix,George Russell,7,6,9,53,RAS
2024,Japanese Grand Prix,Oscar Piastri,8,4,6,53,RAS
2024,Japanese Grand Prix,Lewis Hamilton,9,2,7,53,RAS
2024,Japanese Grand Prix,Yuki Tsunoda,10,1,10,52,Lapped
2024,Japanese Grand Prix,Nico Hülkenberg,11,0,12,52,Lapped
2024,Japanese Grand Prix,Lance Stroll,12,0,16,52,Lapped
2024,Japanese Grand Prix,Kevin Magnussen,13,0,18,52,Lapped
2024,Japanese Grand Prix,Valtteri Bottas,14,0,13,52,Lapped
2024,Japanese Grand Prix,Esteban Ocon,15,0,15,52,Lapped
2024,Japanese Grand Prix,Pierre Gasly,16,0,17,52,Lapped
2024,Japanese Grand Prix,Logan Sargeant,17,0,19,52,Lapped
2024,Japanese Grand Prix,Guanyu Zhou,18,0,20,12,DNF
2024,Japanese Grand Prix,Daniel Ricciardo,19,0,11,0,DNF
2024,Japanese Grand Prix,Alexander Albon,20,0,14,0,DNF
2024,Chinese Grand Prix,Max Verstappen,1,25,1,56,RAS
2024,Chinese Grand Prix,Lando Norris,2,18,4,56,RAS
2024,Chinese Grand Prix,Sergio Pérez,3,15,2,56,RAS
2024,Chinese Grand Prix,Charles Leclerc,4,12,6,56,RAS
2024,Chinese Grand Prix,Carlos Sainz,5,10,7,56,RAS
2024,Chinese Grand Prix,George Russell,6,8,8,56,RAS
2024,Chinese Grand Prix,Fernando Alonso,7,7,3,56,RAS
2024,Chinese Grand Prix,Oscar Piastri,8,4,5,56,RAS
2024,Chinese Grand Prix,Lewis Hamilton,9,2,18,56,RAS
2024,Chinese Grand Prix,Nico Hülkenberg,10,1,9,56,RAS
2024,Chinese Grand Prix,Esteban Ocon,11,0,13,56,RAS
2024,Chinese Grand Prix,Alexander Albon,12,0,14,56,RAS
2024,Chinese Grand Prix,Pierre Gasly,13,0,15,56,RAS
2024,Chinese Grand Prix,Guanyu Zhou,14,0,16,56,RAS
2024,Chinese Grand Prix,Lance Stroll,15,0,11,56,RAS
2024,Chinese Grand Prix,Kevin Magnussen,16,0,17,56,RAS
2024,Chinese Grand Prix,Logan Sargeant,17,0,20,56,RAS
2024,Chinese Grand Prix,Daniel Ricciardo,18,0,12,33,DNF
2024,Chinese Grand Prix,Yuki Tsunoda,19,0,19,26,DNF
2024,Chinese Grand Prix,Valtteri Bottas,20,0,10,19,DNF
2024,Miami Grand Prix,Lando Norris,1,25,5,57,RAS
2024,Miami Grand Prix,Max Verstappen,2,18,1,57,RAS
2024,Miami Grand Prix,Charles Leclerc,3,15,2,57,RAS
2024,Miami Grand Prix,Sergio Pérez,4,12,4,57,RAS
2024,Miami Grand Prix,Carlos Sainz,5,10,3,57,RAS
2024,Miami Grand Prix,Lewis Hamilton,6,8,8,57,RAS
2024,Miami Grand Prix,Yuki Tsunoda,7,6,10,57,RAS
2024,Miami Grand Prix,George Russell,8,4,7,57,RAS
2024,Miami Grand Prix,Fernando Alonso,9,2,15,57,RAS
2024,Miami Grand Prix,Esteban Ocon,10,1,13,57,RAS
2024,Miami Grand Prix,Nico Hülkenberg,11,0,9,57,RAS
2024,Miami Grand Prix,Pierre Gasly,12,0,12,57,RAS
2024,Miami Grand Prix,Oscar Piastri,13,0,6,57,RAS
2024,Miami Grand Prix,Guanyu Zhou,14,0,19,57,RAS
2024,Miami Grand Prix,Daniel Ricciardo,15,0,20,57,RAS
2024,Miami Grand Prix,Valtteri Bottas,16,0,16,57,RAS
2024,Miami Grand Prix,Lance Stroll,17,0,11,57,RAS
2024,Miami Grand Prix,Alexander Albon,18,0,14,57,RAS
2024,Miami Grand Prix,Kevin Magnussen,19,0,18,57,RAS
2024,Miami Grand Prix,Logan Sargeant,20,0,17,27,DNF
2024,Emilia Romagna Grand Prix,Max Verstappen,1,25,1,63,RAS
2024,Emilia Romagna Grand Prix,Lando Norris,2,18,2,63,RAS
2024,Emilia Romagna Grand Prix,Charles Leclerc,3,15,3,63,RAS
2024,Emilia Romagna Grand Prix,Oscar Piastri,4,12,5,63,RAS
2024,Emilia Romagna Grand Prix,Carlos Sainz,5,10,4,63,RAS
2024,Emilia Romagna Grand Prix,Lewis Hamilton,6,8,8,63,RAS
2024,Emilia Romagna Grand Prix,George Russell,7,7,6,63,RAS
2024,Emilia Romagna Grand Prix,Sergio Pérez,8,4,11,63,RAS
2024,Emilia Romagna Grand Prix,Lance Stroll,9,2,13,63,RAS
2024,Emilia Romagna Grand Prix,Yuki Tsunoda,10,1,7,62,Lapped
