sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
2021,Bahrain Grand Prix,Lewis Hamilton,1,25,2,56,RAS
2021,Bahrain Grand Prix,Max Verstappen,2,18,1,56,RAS
2021,Bahrain Grand Prix,Valtteri Bottas,3,16,3,56,RAS
2021,Bahrain Grand Prix,Lando Norris,4,12,7,56,RAS
2021,Bahrain Grand Prix,Sergio Pérez,5,10,0,56,RAS
2021,Bahrain Grand Prix,Charles Leclerc,6,8,4,56,RAS
2021,Bahrain Grand Prix,Daniel Ricciardo,7,6,6,56,RAS
2021,Bahrain Grand Prix,Carlos Sainz,8,4,8,56,RAS
2021,Bahrain Grand Prix,Yuki Tsunoda,9,2,13,56,RAS
2021,Bahrain Grand Prix,Lance Stroll,10,1,10,56,RAS
2021,Bahrain Grand Prix,Kimi Räikkönen,11,0,14,56,RAS
2021,Bahrain Grand Prix,Antonio Giovinazzi,12,0,12,55,RAS
2021,Bahrain Grand Prix,Esteban Ocon,13,0,16,55,RAS
2021,Bahrain Grand Prix,George Russell,14,0,15,55,RAS
2021,Bahrain Grand Prix,Sebastian Vettel,15,0,20,55,RAS
2021,Bahrain Grand Prix,Mick Schumacher,16,0,18,55,RAS
2021,Bahrain Grand Prix,Pierre Gasly,17,0,5,52,DNF
2021,Bahrain Grand Prix,Nicholas Latifi,18,0,17,51,DNF
2021,Bahrain Grand Prix,Fernando Alonso,19,0,9,32,Brakes
2021,Bahrain Grand Prix,Nikita Mazepin,20,0,19,0,Accident
2021,Emilia Romagna Grand Prix,Max Verstappen,1,25,3,63,RAS
2021,Emilia Romagna Grand Prix,Lewis Hamilton,2,19,1,63,RAS
2021,Emilia Romagna Grand Prix,Lando Norris,3,15,7,63,RAS
2021,Emilia Romagna Grand Prix,Charles Leclerc,4,12,4,63,RAS
2021,Emilia Romagna Grand Prix,Carlos Sainz,5,10,11,63,RAS
2021,Emilia Romagna Grand Prix,Daniel Ricciardo,6,8,6,63,RAS
2021,Emilia Romagna Grand Prix,Pierre Gasly,7,6,5,63,RAS
2021,Emilia Romagna Grand Prix,Lance Stroll,8,4,10,63,RAS
2021,Emilia Romagna Grand Prix,Esteban Ocon,9,2,9,63,RAS
2021,Emilia Romagna Grand Prix,Fernando Alonso,10,1,15,63,RAS
2021,Emilia Romagna Grand Prix,Sergio Pérez,11,0,2,63,RAS
