sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
1952,Swiss Grand Prix,Piero Taruffi,1,9,2,62,RAS
1952,Swiss Grand Prix,Rudi Fischer,2,6,5,62,RAS
1952,Swiss Grand Prix,Jean Behra,3,4,7,61,RAS
1952,Swiss Grand Prix,Ken Wharton,4,3,13,60,RAS
1952,Swiss Grand Prix,Alan Brown,5,2,15,59,RAS
1952,Swiss Grand Prix,Toulo de Graffenried,6,0,8,58,RAS
1952,Swiss Grand Prix,Peter Hirt,7,0,19,56,RAS
1952,Swiss Grand Prix,Eric Brandon,8,0,17,55,RAS
1952,Swiss Grand Prix,Prince Bira,9,0,11,52,Engine
1952,Swiss Grand Prix,Nino Farina,10,0,4,51,Magneto
1952,Swiss Grand Prix,André Simon,10,0,4,51,Magneto
1952,Swiss Grand Prix,Harry Schell,11,0,18,31,Engine
1952,Swiss Grand Prix,Stirling Moss,12,0,9,24,Withdrew
1952,Swiss Grand Prix,Lance Macklin,13,0,12,24,Withdrew
1952,Swiss Grand Prix,Robert Manzon,14,0,3,20,Radiator
1952,Swiss Grand Prix,Nino Farina,15,0,1,16,Magneto
1952,Swiss Grand Prix,Peter Collins,16,0,6,12,Halfshaft
1952,Swiss Grand Prix,George Abecassis,17,0,10,12,Halfshaft
1952,Swiss Grand Prix,Hans von Stuck,18,0,14,4,Engine
1952,Swiss Grand Prix,Toni Ulmen,19,0,16,4,Fuel leak
1952,Swiss Grand Prix,Louis Rosier,20,0,20,2,Accident
1952,Swiss Grand Prix,Max de Terra,21,0,21,1,Magneto
1952,Indianapolis 500,Troy Ruttman,1,8,7,200,RAS
1952,Indianapolis 500,Jim Rathmann,2,6,10,200,RAS
1952,Indianapolis 500,Sam Hanks,3,4,5,200,RAS
1952,Indianapolis 500,Duane Carter,4,3,6,200,RAS
1952,Indianapolis 500,Art Cross,5,2,20,200,RAS
1952,Indianapolis 500,Jimmy Bryan,6,0,21,200,RAS
1952,Indianapolis 500,Jimmy Reece,7,0,23,200,RAS
