sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
1961,Monaco Grand Prix,Stirling Moss,1,9,1,100,RAS
1961,Monaco Grand Prix,Richie Ginther,2,6,2,100,RAS
1961,Monaco Grand Prix,Phil Hill,3,4,5,100,RAS
1961,Monaco Grand Prix,Wolfgang von Trips,4,3,6,98,Accident
1961,Monaco Grand Prix,Dan Gurney,5,2,11,98,RAS
1961,Monaco Grand Prix,Bruce McLaren,6,1,7,95,RAS
1961,Monaco Grand Prix,Maurice Trintignant,7,0,16,95,RAS
1961,Monaco Grand Prix,Cliff Allison,8,0,15,93,RAS
1961,Monaco Grand Prix,Hans Herrmann,9,0,13,91,RAS
1961,Monaco Grand Prix,Jim Clark,10,0,3,89,RAS
1961,Monaco Grand Prix,John Surtees,11,0,12,68,Engine
1961,Monaco Grand Prix,Jo Bonnier,12,0,9,59,Injection
1961,Monaco Grand Prix,Tony Brooks,13,0,8,54,Engine
1961,Monaco Grand Prix,Michael May,14,0,14,42,Oil pipe
1961,Monaco Grand Prix,Jack Brabham,15,0,21,38,Ignition
1961,Monaco Grand Prix,Graham Hill,16,0,4,11,Fuel pump
1961,Monaco Grand Prix,Innes Ireland,17,0,0,0,Withdrew
1961,Dutch Grand Prix,Wolfgang von Trips,1,9,2,75,RAS
1961,Dutch Grand Prix,Phil Hill,2,6,1,75,RAS
1961,Dutch Grand Prix,Jim Clark,3,4,11,75,RAS
1961,Dutch Grand Prix,Stirling Moss,4,3,4,75,RAS
1961,Dutch Grand Prix,Richie Ginther,5,2,3,75,RAS
1961,Dutch Grand Prix,Jack Brabham,6,1,7,75,RAS
1961,Dutch Grand Prix,John Surtees,7,0,9,75,RAS
1961,Dutch Grand Prix,Graham Hill,8,0,5,75,RAS
1961,Dutch Grand Prix,Tony Brooks,9,0,8,74,RAS
1961,Dutch Grand Prix,Dan Gurney,10,0,6,74,RAS
1961,Dutch Grand Prix,Jo Bonnier,11,0,12,73,RAS
1961,Dutch Grand Prix,Bruce McLaren,12,0,14,73,RAS
1961,Dutch Grand Prix,Trevor Taylor,13,0,16,73,RAS
1961,Dutch Grand Prix,Carel Godin de Beaufort,14,0,17,72,RAS
1961,Dutch Grand Prix,Hans Herrmann,15,0,13,72,RAS
1961,Dutch Grand Prix,Masten Gregory,16,0,0,0,Withdrew
1961,Dutch Grand Prix,Ian Burgess,17,0,0,0,Withdrew
1961,Belgian Grand Prix,Phil Hill,1,9,1,30,RAS
1961,Belgian Grand Prix,Wolfgang von Trips,2,6,2,30,RAS
1961,Belgian Grand Prix,Richie Ginther,3,4,5,30,RAS
1961,Belgian Grand Prix,Olivier Gendebien,4,3,3,30,RAS
1961,Belgian Grand Prix,John Surtees,5,2,4,30,RAS
1961,Belgian Grand Prix,Dan Gurney,6,1,10,30,RAS
1961,Belgian Grand Prix,Jo Bonnier,7,0,9,30,RAS
1961,Belgian Grand Prix,Stirling Moss,8,0,8,30,RAS
1961,Belgian Grand Prix,Jackie Lewis,9,0,13,29,RAS
1961,Belgian Grand Prix,Masten Gregory,10,0,12,29,RAS
1961,Belgian Grand Prix,Carel Godin de Beaufort,11,0,14,28,RAS
1961,Belgian Grand Prix,Jim Clark,12,0,16,24,RAS
1961,Belgian Grand Prix,Tony Brooks,13,0,7,24,RAS
1961,Belgian Grand Prix,Graham Hill,14,0,6,24,Ignition
1961,Belgian Grand Prix,Maurice Trintignant,15,0,20,23,Gearbox
1961,Belgian Grand Prix,Lorenzo Bandini,16,0,17,20,Wheel bearing
1961,Belgian Grand Prix,Jack Brabham,17,0,11,12,Engine
1961,Belgian Grand Prix,Bruce McLaren,18,0,15,9,Ignition
1961,Belgian Grand Prix,Innes Ireland,19,0,18,9,Engine
1961,Belgian Grand Prix,Lucien Bianchi,20,0,23,9,Oil leak
1961,Belgian Grand Prix,Willy Mairesse,21,0,19,7,Ignition
1961,Belgian Grand Prix,Tony Marsh,22,0,0,0,Withdrew
1961,Belgian Grand Prix,Wolfgang Seidel,23,0,0,0,Withdrew
1961,Belgian Grand Prix,Ian Burgess,24,0,0,0,Withdrew
1961,Belgian Grand Prix,Cliff Allison,25,0,0,0,Withdrew
1961,Belgian Grand Prix,Henry Taylor,26,0,0,0,Withdrew
1961,French Grand Prix,Giancarlo Baghetti,1,9,12,52,RAS
1961,French Grand Prix,Dan Gurney,2,6,5,52,RAS
1961,French Grand Prix,Jim Clark,3,4,9,52,RAS
1961,French Grand Prix,Innes Ireland,4,3,10,52,RAS
1961,French Grand Prix,Bruce McLaren,5,2,8,52,RAS
1961,French Grand Prix,Graham Hill,6,1,6,52,RAS
1961,French Grand Prix,Jo Bonnier,7,0,13,52,RAS
1961,French Grand Prix,Roy Salvadori,8,0,15,51,RAS
1961,French Grand Prix,Phil Hill,9,0,1,50,RAS
1961,French Grand Prix,Henry Taylor,10,0,25,49,RAS
1961,French Grand Prix,Michael May,11,0,22,48,RAS
1961,French Grand Prix,Masten Gregory,12,0,16,43,RAS
1961,French Grand Prix,Maurice Trintignant,13,0,23,42,RAS
1961,French Grand Prix,Ian Burgess,14,0,24,42,RAS
1961,French Grand Prix,Richie Ginther,15,0,3,40,Oil pressure
1961,French Grand Prix,Stirling Moss,16,0,4,31,Brakes
1961,French Grand Prix,Willy Mairesse,17,0,20,27,Engine
1961,French Grand Prix,Carel Godin de Beaufort,18,0,17,23,Overheating
1961,French Grand Prix,Lucien Bianchi,19,0,19,21,Overheating
1961,French Grand Prix,Wolfgang von Trips,20,0,2,18,Engine
1961,French Grand Prix,Giorgio Scarlatti,21,0,26,15,Engine
1961,French Grand Prix,Jack Brabham,22,0,14,14,Oil pressure
1961,French Grand Prix,Bernard Collomb,23,0,21,6,Engine
1961,French Grand Prix,John Surtees,24,0,7,4,Accident
