sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
1972,Argentine Grand Prix,Jackie Stewart,1,9,2,95,RAS
1972,Argentine Grand Prix,Denny Hulme,2,6,4,95,RAS
1972,Argentine Grand Prix,Jacky Ickx,3,4,8,95,RAS
1972,Argentine Grand Prix,Clay Regazzoni,4,3,6,95,RAS
1972,Argentine Grand Prix,Tim Schenken,5,2,11,95,RAS
1972,Argentine Grand Prix,Ronnie Peterson,6,1,10,94,RAS
1972,Argentine Grand Prix,Carlos Reutemann,7,0,1,93,RAS
1972,Argentine Grand Prix,Henri Pescarolo,8,0,15,93,RAS
1972,Argentine Grand Prix,Howden Ganley,9,0,13,93,RAS
1972,Argentine Grand Prix,Helmut Marko,10,0,19,93,RAS
1972,Argentine Grand Prix,Niki Lauda,11,0,22,93,RAS
1972,Argentine Grand Prix,Emerson Fittipaldi,12,0,5,61,Suspension
1972,Argentine Grand Prix,François Cevert,13,0,17,59,Gearbox
1972,Argentine Grand Prix,Reine Wisell,14,0,7,59,Water leak
1972,Argentine Grand Prix,Peter Revson,15,0,3,49,Engine
1972,Argentine Grand Prix,Mario Andretti,16,0,9,20,Engine
1972,Argentine Grand Prix,Andrea de Adamich,17,0,14,11,Fuel system
1972,Argentine Grand Prix,Graham Hill,18,0,16,11,Fuel pump
1972,Argentine Grand Prix,David Walker,19,0,20,8,DQ
1972,Argentine Grand Prix,Peter Gethin,20,0,18,1,Oil leak
1972,Argentine Grand Prix,Alex Soler-Roig,21,0,21,1,Accident
1972,Argentine Grand Prix,Chris Amon,22,0,12,0,Withdrew
1972,South African Grand Prix,Denny Hulme,1,9,5,79,RAS
1972,South African Grand Prix,Emerson Fittipaldi,2,6,3,79,RAS
1972,South African Grand Prix,Peter Revson,3,4,12,79,RAS
1972,South African Grand Prix,Mario Andretti,4,3,6,79,RAS
1972,South African Grand Prix,Ronnie Peterson,5,2,9,79,RAS
1972,South African Grand Prix,Graham Hill,6,1,14,78,RAS
1972,South African Grand Prix,Niki Lauda,7,0,21,78,RAS
1972,South African Grand Prix,Jacky Ickx,8,0,7,78,RAS
