sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
1976,Brazilian Grand Prix,Niki Lauda,1,9,2,40,RAS
1976,Brazilian Grand Prix,Patrick Depailler,2,6,9,40,RAS
1976,Brazilian Grand Prix,Tom Pryce,3,4,12,40,RAS
1976,Brazilian Grand Prix,Hans-Joachim Stuck,4,3,14,40,RAS
1976,Brazilian Grand Prix,Jody Scheckter,5,2,13,40,RAS
1976,Brazilian Grand Prix,Jochen Mass,6,1,6,40,RAS
1976,Brazilian Grand Prix,Clay Regazzoni,7,0,4,40,RAS
1976,Brazilian Grand Prix,Jacky Ickx,8,0,19,39,RAS
1976,Brazilian Grand Prix,Renzo Zorzi,9,0,17,39,RAS
1976,Brazilian Grand Prix,Carlos Pace,10,0,10,39,RAS
1976,Brazilian Grand Prix,Ingo Hoffmann,11,0,20,39,RAS
1976,Brazilian Grand Prix,Carlos Reutemann,12,0,15,37,Out of fuel
1976,Brazilian Grand Prix,Emerson Fittipaldi,13,0,5,37,RAS
1976,Brazilian Grand Prix,Lella Lombardi,14,0,22,36,RAS
1976,Brazilian Grand Prix,Jean-Pierre Jarier,15,0,3,33,Accident
1976,Brazilian Grand Prix,James Hunt,16,0,1,32,Accident
1976,Brazilian Grand Prix,Vittorio Brambilla,17,0,7,15,Oil leak
1976,Brazilian Grand Prix,Jacques Laffite,18,0,11,14,Transmission
1976,Brazilian Grand Prix,Ronnie Peterson,19,0,18,10,Accident
1976,Brazilian Grand Prix,Mario Andretti,20,0,16,6,Accident
1976,Brazilian Grand Prix,John Watson,21,0,8,2,Fuel system
1976,Brazilian Grand Prix,Ian Ashley,22,0,21,2,Oil pump
1976,South African Grand Prix,Niki Lauda,1,9,2,78,RAS
1976,South African Grand Prix,James Hunt,2,6,1,78,RAS
1976,South African Grand Prix,Jochen Mass,3,4,4,78,RAS
1976,South African Grand Prix,Jody Scheckter,4,3,12,78,RAS
1976,South African Grand Prix,John Watson,5,2,3,77,RAS
1976,South African Grand Prix,Mario Andretti,6,1,13,77,RAS
1976,South African Grand Prix,Tom Pryce,7,0,7,77,RAS
1976,South African Grand Prix,Vittorio Brambilla,8,0,5,77,RAS
1976,South African Grand Prix,Patrick Depailler,9,0,6,77,RAS
1976,South African Grand Prix,Bob Evans,10,0,23,77,RAS
1976,South African Grand Prix,Brett Lunger,11,0,20,77,RAS
1976,South African Grand Prix,Hans-Joachim Stuck,12,0,17,76,RAS
1976,South African Grand Prix,Michel Leclère,13,0,22,76,RAS
1976,South African Grand Prix,Chris Amon,14,0,18,76,RAS
1976,South African Grand Prix,Harald Ertl,15,0,24,74,RAS
1976,South African Grand Prix,Jacky Ickx,16,0,19,73,RAS
1976,South African Grand Prix,Emerson Fittipaldi,17,0,21,70,Engine
1976,South African Grand Prix,Clay Regazzoni,18,0,9,52,Engine
1976,South African Grand Prix,Jacques Laffite,19,0,8,49,Engine
1976,South African Grand Prix,Jean-Pierre Jarier,20,0,15,28,Radiator
1976,South African Grand Prix,Carlos Pace,21,0,14,22,Oil pressure
1976,South African Grand Prix,Gunnar Nilsson,22,0,25,18,Clutch
1976,South African Grand Prix,Carlos Reutemann,23,0,11,16,Oil pressure
1976,South African Grand Prix,Ronnie Peterson,24,0,13,15,Accident
1976,South African Grand Prix,Ian Scheckter,25,0,16,0,Accident
1976,United States Grand Prix West,Clay Regazzoni,1,9,1,80,RAS
1976,United States Grand Prix West,Niki Lauda,2,6,4,80,RAS
1976,United States Grand Prix West,Patrick Depailler,3,4,2,80,RAS
1976,United States Grand Prix West,Jacques Laffite,4,3,12,80,RAS
1976,United States Grand Prix West,Jochen Mass,5,2,14,80,RAS
1976,United States Grand Prix West,Emerson Fittipaldi,6,1,16,79,RAS
1976,United States Grand Prix West,Jean-Pierre Jarier,7,0,7,79,RAS
1976,United States Grand Prix West,Chris Amon,8,0,17,78,RAS
1976,United States Grand Prix West,Carlos Pace,9,0,13,77,RAS
1976,United States Grand Prix West,Ronnie Peterson,10,0,6,77,RAS
1976,United States Grand Prix West,Alan Jones,11,0,19,70,Not classified
1976,United States Grand Prix West,John Watson,12,0,9,69,Not classified
1976,United States Grand Prix West,Jody Scheckter,13,0,11,34,Suspension
1976,United States Grand Prix West,Tom Pryce,14,0,5,32,Halfshaft
1976,United States Grand Prix West,Mario Andretti,15,0,15,15,Water leak
1976,United States Grand Prix West,James Hunt,16,0,3,3,Accident
1976,United States Grand Prix West,Hans-Joachim Stuck,17,0,18,2,Accident
1976,United States Grand Prix West,Vittorio Brambilla,18,0,20,0,Accident
1976,United States Grand Prix West,Carlos Reutemann,19,0,10,0,Accident
1976,United States Grand Prix West,Gunnar Nilsson,20,0,8,0,Suspension
1976,Spanish Grand Prix,James Hunt,1,9,1,75,RAS
1976,Spanish Grand Prix,Niki Lauda,2,6,2,75,RAS
1976,Spanish Grand Prix,Gunnar Nilsson,3,4,7,75,RAS
1976,Spanish Grand Prix,Carlos Reutemann,4,3,12,74,RAS
1976,Spanish Grand Prix,Chris Amon,5,2,10,74,RAS
1976,Spanish Grand Prix,Carlos Pace,6,1,11,74,RAS
1976,Spanish Grand Prix,Jacky Ickx,7,0,21,74,RAS
1976,Spanish Grand Prix,Tom Pryce,8,0,22,74,RAS
1976,Spanish Grand Prix,Alan Jones,9,0,20,74,RAS
1976,Spanish Grand Prix,Michel Leclère,10,0,23,73,RAS
1976,Spanish Grand Prix,Clay Regazzoni,11,0,5,72,RAS
1976,Spanish Grand Prix,Jacques Laffite,12,0,8,72,RAS
1976,Spanish Grand Prix,Larry Perkins,13,0,24,72,RAS
1976,Spanish Grand Prix,Jochen Mass,14,0,4,65,Engine
1976,Spanish Grand Prix,Jean-Pierre Jarier,15,0,15,61,Electrical
1976,Spanish Grand Prix,Jody Scheckter,16,0,14,53,Engine
1976,Spanish Grand Prix,John Watson,17,0,13,51,Engine
1976,Spanish Grand Prix,Arturo Merzario,18,0,18,36,Gearbox
1976,Spanish Grand Prix,Mario Andretti,19,0,9,34,Gearbox
1976,Spanish Grand Prix,Patrick Depailler,20,0,3,25,Accident
1976,Spanish Grand Prix,Vittorio Brambilla,21,0,6,21,Suspension
1976,Spanish Grand Prix,Hans-Joachim Stuck,22,0,17,16,Gearbox
1976,Spanish Grand Prix,Ronnie Peterson,23,0,16,11,Transmission
1976,Spanish Grand Prix,Emerson Fittipaldi,24,0,19,3,Transmission
1976,Belgian Grand Prix,Niki Lauda,1,9,1,70,RAS
1976,Belgian Grand Prix,Clay Regazzoni,2,6,2,70,RAS
1976,Belgian Grand Prix,Jacques Laffite,3,4,4,70,RAS
1976,Belgian Grand Prix,Jody Scheckter,4,3,7,70,RAS
1976,Belgian Grand Prix,Alan Jones,5,2,16,69,RAS
