sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
2002,Australian Grand Prix,Michael Schumacher,1,10,2,58,RAS
2002,Australian Grand Prix,Juan Pablo Montoya,2,6,6,58,RAS
2002,Australian Grand Prix,Kimi Räikkönen,3,4,5,58,RAS
2002,Australian Grand Prix,Eddie Irvine,4,3,19,57,RAS
2002,Australian Grand Prix,Mark Webber,5,2,18,56,RAS
2002,Australian Grand Prix,Mika Salo,6,1,14,56,RAS
2002,Australian Grand Prix,Alex Yoong,7,0,21,55,RAS
2002,Australian Grand Prix,Pedro de la Rosa,8,0,20,53,RAS
2002,Australian Grand Prix,David Coulthard,9,0,4,33,Gearbox
2002,Australian Grand Prix,Jacques Villeneuve,10,0,13,27,Broken wing
2002,Australian Grand Prix,Heinz-Harald Frentzen,11,0,15,16,DQ
2002,Australian Grand Prix,Enrique Bernoldi,12,0,17,15,DQ
2002,Australian Grand Prix,Takuma Sato,13,0,22,12,Electrical
2002,Australian Grand Prix,Jarno Trulli,14,0,7,8,Spun off
2002,Australian Grand Prix,Rubens Barrichello,15,0,1,0,Collision
2002,Australian Grand Prix,Ralf Schumacher,16,0,3,0,Collision
2002,Australian Grand Prix,Giancarlo Fisichella,17,0,8,0,Collision
2002,Australian Grand Prix,Felipe Massa,18,0,9,0,Collision
2002,Australian Grand Prix,Nick Heidfeld,19,0,10,0,Collision
2002,Australian Grand Prix,Jenson Button,20,0,11,0,Collision
2002,Australian Grand Prix,Olivier Panis,21,0,12,0,Collision
2002,Australian Grand Prix,Allan McNish,22,0,16,0,Collision
2002,Malaysian Grand Prix,Ralf Schumacher,1,10,4,56,RAS
2002,Malaysian Grand Prix,Juan Pablo Montoya,2,6,2,56,RAS
2002,Malaysian Grand Prix,Michael Schumacher,3,4,1,56,RAS
2002,Malaysian Grand Prix,Jenson Button,4,3,8,56,RAS
2002,Malaysian Grand Prix,Nick Heidfeld,5,2,7,55,RAS
2002,Malaysian Grand Prix,Felipe Massa,6,1,14,55,RAS
2002,Malaysian Grand Prix,Allan McNish,7,0,19,55,RAS
2002,Malaysian Grand Prix,Jacques Villeneuve,8,0,13,55,RAS
2002,Malaysian Grand Prix,Takuma Sato,9,0,15,54,RAS
2002,Malaysian Grand Prix,Pedro de la Rosa,10,0,17,54,RAS
2002,Malaysian Grand Prix,Heinz-Harald Frentzen,11,0,11,54,RAS
2002,Malaysian Grand Prix,Mika Salo,12,0,10,53,RAS
2002,Malaysian Grand Prix,Giancarlo Fisichella,13,0,9,53,RAS
2002,Malaysian Grand Prix,Rubens Barrichello,14,0,3,39,Engine
2002,Malaysian Grand Prix,Mark Webber,15,0,21,34,Electrical
2002,Malaysian Grand Prix,Eddie Irvine,16,0,20,30,Hydraulics
2002,Malaysian Grand Prix,Alex Yoong,17,0,22,29,Gearbox
2002,Malaysian Grand Prix,Kimi Räikkönen,18,0,5,24,Engine
2002,Malaysian Grand Prix,Enrique Bernoldi,19,0,16,20,Fuel
2002,Malaysian Grand Prix,David Coulthard,20,0,6,15,Engine
2002,Malaysian Grand Prix,Olivier Panis,21,0,18,9,Clutch
2002,Malaysian Grand Prix,Jarno Trulli,22,0,12,9,Overheating
2002,Brazilian Grand Prix,Michael Schumacher,1,10,2,71,RAS
2002,Brazilian Grand Prix,Ralf Schumacher,2,6,3,71,RAS
2002,Brazilian Grand Prix,David Coulthard,3,4,4,71,RAS
2002,Brazilian Grand Prix,Jenson Button,4,3,7,71,RAS
2002,Brazilian Grand Prix,Juan Pablo Montoya,5,2,1,71,RAS
2002,Brazilian Grand Prix,Mika Salo,6,1,10,70,RAS
2002,Brazilian Grand Prix,Eddie Irvine,7,0,13,70,RAS
2002,Brazilian Grand Prix,Pedro de la Rosa,8,0,11,70,RAS
2002,Brazilian Grand Prix,Takuma Sato,9,0,19,69,RAS
2002,Brazilian Grand Prix,Jacques Villeneuve,10,0,15,68,Engine
2002,Brazilian Grand Prix,Mark Webber,11,0,20,68,RAS
2002,Brazilian Grand Prix,Kimi Räikkönen,12,0,5,67,Wheel rim
2002,Brazilian Grand Prix,Alex Yoong,13,0,22,67,RAS
2002,Brazilian Grand Prix,Nick Heidfeld,14,0,9,61,Brakes
2002,Brazilian Grand Prix,Jarno Trulli,15,0,6,60,Engine
2002,Brazilian Grand Prix,Felipe Massa,16,0,12,41,Collision
2002,Brazilian Grand Prix,Allan McNish,17,0,16,40,Spun off
2002,Brazilian Grand Prix,Olivier Panis,18,0,17,25,Gearbox
2002,Brazilian Grand Prix,Heinz-Harald Frentzen,19,0,18,25,Suspension
2002,Brazilian Grand Prix,Enrique Bernoldi,20,0,21,19,Suspension
2002,Brazilian Grand Prix,Rubens Barrichello,21,0,8,16,Hydraulics
2002,Brazilian Grand Prix,Giancarlo Fisichella,22,0,14,6,Engine
2002,San Marino Grand Prix,Michael Schumacher,1,10,1,62,RAS
2002,San Marino Grand Prix,Rubens Barrichello,2,6,2,62,RAS
2002,San Marino Grand Prix,Ralf Schumacher,3,4,3,62,RAS
2002,San Marino Grand Prix,Juan Pablo Montoya,4,3,4,62,RAS
2002,San Marino Grand Prix,Jenson Button,5,2,9,62,RAS
