sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
2023,Bahrain Grand Prix,Max Verstappen,1,25,1,57,RAS
2023,Bahrain Grand Prix,Sergio Pérez,2,18,2,57,RAS
2023,Bahrain Grand Prix,Fernando Alonso,3,15,5,57,RAS
2023,Bahrain Grand Prix,Carlos Sainz,4,12,4,57,RAS
2023,Bahrain Grand Prix,Lewis Hamilton,5,10,7,57,RAS
2023,Bahrain Grand Prix,Lance Stroll,6,8,8,57,RAS
2023,Bahrain Grand Prix,George Russell,7,6,6,57,RAS
2023,Bahrain Grand Prix,Valtteri Bottas,8,4,12,57,RAS
2023,Bahrain Grand Prix,Pierre Gasly,9,2,20,57,RAS
2023,Bahrain Grand Prix,Alexander Albon,10,1,15,57,RAS
2023,Bahrain Grand Prix,Yuki Tsunoda,11,0,14,57,RAS
2023,Bahrain Grand Prix,Logan Sargeant,12,0,16,56,Lapped
2023,Bahrain Grand Prix,Kevin Magnussen,13,0,17,56,Lapped
2023,Bahrain Grand Prix,Nyck de Vries,14,0,19,56,Lapped
2023,Bahrain Grand Prix,Nico Hülkenberg,15,0,10,56,Lapped
2023,Bahrain Grand Prix,Guanyu Zhou,16,0,13,56,Lapped
2023,Bahrain Grand Prix,Lando Norris,17,0,11,55,Lapped
2023,Bahrain Grand Prix,Esteban Ocon,18,0,9,41,DNF
2023,Bahrain Grand Prix,Charles Leclerc,19,0,3,39,DNF
2023,Bahrain Grand Prix,Oscar Piastri,20,0,18,13,DNF
2023,Saudi Arabian Grand Prix,Sergio Pérez,1,25,1,50,RAS
2023,Saudi Arabian Grand Prix,Max Verstappen,2,19,15,50,RAS
2023,Saudi Arabian Grand Prix,Fernando Alonso,3,15,2,50,RAS
2023,Saudi Arabian Grand Prix,George Russell,4,12,3,50,RAS
2023,Saudi Arabian Grand Prix,Lewis Hamilton,5,10,7,50,RAS
2023,Saudi Arabian Grand Prix,Carlos Sainz,6,8,4,50,RAS
2023,Saudi Arabian Grand Prix,Charles Leclerc,7,6,12,50,RAS
2023,Saudi Arabian Grand Prix,Esteban Ocon,8,4,6,50,RAS
2023,Saudi Arabian Grand Prix,Pierre Gasly,9,2,9,50,RAS
2023,Saudi Arabian Grand Prix,Kevin Magnussen,10,1,13,50,RAS
2023,Saudi Arabian Grand Prix,Yuki Tsunoda,11,0,16,50,RAS
2023,Saudi Arabian Grand Prix,Nico Hülkenberg,12,0,10,50,RAS
2023,Saudi Arabian Grand Prix,Guanyu Zhou,13,0,11,50,RAS
2023,Saudi Arabian Grand Prix,Nyck de Vries,14,0,18,50,RAS
2023,Saudi Arabian Grand Prix,Oscar Piastri,15,0,8,50,RAS
2023,Saudi Arabian Grand Prix,Logan Sargeant,16,0,20,50,RAS
2023,Saudi Arabian Grand Prix,Lando Norris,17,0,19,50,RAS
2023,Saudi Arabian Grand Prix,Valtteri Bottas,18,0,14,49,Lapped
2023,Saudi Arabian Grand Prix,Alexander Albon,19,0,17,27,DNF
2023,Saudi Arabian Grand Prix,Lance Stroll,20,0,5,16,DNF
2023,Australian Grand Prix,Max Verstappen,1,25,1,58,RAS
2023,Australian Grand Prix,Lewis Hamilton,2,18,3,58,RAS
2023,Australian Grand Prix,Fernando Alonso,3,15,4,58,RAS
2023,Australian Grand Prix,Lance Stroll,4,12,6,58,RAS
2023,Australian Grand Prix,Sergio Pérez,5,11,20,58,RAS
2023,Australian Grand Prix,Lando Norris,6,8,13,58,RAS
