sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
2019,Australian Grand Prix,Valtteri Bottas,1,26,2,58,RAS
2019,Australian Grand Prix,Lewis Hamilton,2,18,1,58,RAS
2019,Australian Grand Prix,Max Verstappen,3,15,4,58,RAS
2019,Australian Grand Prix,Sebastian Vettel,4,12,3,58,RAS
2019,Australian Grand Prix,Charles Leclerc,5,10,5,58,RAS
2019,Australian Grand Prix,Kevin Magnussen,6,8,7,58,RAS
2019,Australian Grand Prix,Nico Hülkenberg,7,6,11,57,RAS
2019,Australian Grand Prix,Kimi Räikkönen,8,4,9,57,RAS
2019,Australian Grand Prix,Lance Stroll,9,2,16,57,RAS
2019,Australian Grand Prix,Daniil Kvyat,10,1,15,57,RAS
2019,Australian Grand Prix,Pierre Gasly,11,0,17,57,RAS
2019,Australian Grand Prix,Lando Norris,12,0,8,57,RAS
2019,Australian Grand Prix,Sergio Pérez,13,0,10,57,RAS
2019,Australian Grand Prix,Alexander Albon,14,0,13,57,RAS
2019,Australian Grand Prix,Antonio Giovinazzi,15,0,14,57,RAS
2019,Australian Grand Prix,George Russell,16,0,19,56,RAS
2019,Australian Grand Prix,Robert Kubica,17,0,20,55,RAS
2019,Australian Grand Prix,Romain Grosjean,18,0,6,29,Wheel
2019,Australian Grand Prix,Daniel Ricciardo,19,0,12,28,Damage
2019,Australian Grand Prix,Carlos Sainz,20,0,18,9,Engine
2019,Bahrain Grand Prix,Lewis Hamilton,1,25,3,57,RAS
2019,Bahrain Grand Prix,Valtteri Bottas,2,18,4,57,RAS
2019,Bahrain Grand Prix,Charles Leclerc,3,16,1,57,RAS
2019,Bahrain Grand Prix,Max Verstappen,4,12,5,57,RAS
2019,Bahrain Grand Prix,Sebastian Vettel,5,10,2,57,RAS
2019,Bahrain Grand Prix,Lando Norris,6,8,9,57,RAS
2019,Bahrain Grand Prix,Kimi Räikkönen,7,6,8,57,RAS
2019,Bahrain Grand Prix,Pierre Gasly,8,4,13,57,RAS
2019,Bahrain Grand Prix,Alexander Albon,9,2,12,57,RAS
2019,Bahrain Grand Prix,Sergio Pérez,10,1,14,57,RAS
2019,Bahrain Grand Prix,Antonio Giovinazzi,11,0,16,57,RAS
2019,Bahrain Grand Prix,Daniil Kvyat,12,0,15,56,RAS
2019,Bahrain Grand Prix,Kevin Magnussen,13,0,6,56,RAS
2019,Bahrain Grand Prix,Lance Stroll,14,0,18,56,RAS
2019,Bahrain Grand Prix,George Russell,15,0,19,56,RAS
2019,Bahrain Grand Prix,Robert Kubica,16,0,20,55,RAS
2019,Bahrain Grand Prix,Nico Hülkenberg,17,0,17,53,Engine
2019,Bahrain Grand Prix,Daniel Ricciardo,18,0,10,53,Out of fuel
2019,Bahrain Grand Prix,Carlos Sainz,19,0,7,53,Collision damage
2019,Bahrain Grand Prix,Romain Grosjean,20,0,11,16,DNF
2019,Chinese Grand Prix,Lewis Hamilton,1,25,2,56,RAS
2019,Chinese Grand Prix,Valtteri Bottas,2,18,1,56,RAS
2019,Chinese Grand Prix,Sebastian Vettel,3,15,3,56,RAS
2019,Chinese Grand Prix,Max Verstappen,4,12,5,56,RAS
2019,Chinese Grand Prix,Charles Leclerc,5,10,4,56,RAS
2019,Chinese Grand Prix,Pierre Gasly,6,9,6,56,RAS
2019,Chinese Grand Prix,Daniel Ricciardo,7,6,7,55,RAS
2019,Chinese Grand Prix,Sergio Pérez,8,4,12,55,RAS
2019,Chinese Grand Prix,Kimi Räikkönen,9,2,13,55,RAS
2019,Chinese Grand Prix,Alexander Albon,10,1,0,55,RAS
2019,Chinese Grand Prix,Romain Grosjean,11,0,10,55,RAS
2019,Chinese Grand Prix,Lance Stroll,12,0,16,55,RAS
2019,Chinese Grand Prix,Kevin Magnussen,13,0,9,55,RAS
2019,Chinese Grand Prix,Carlos Sainz,14,0,14,55,RAS
2019,Chinese Grand Prix,Antonio Giovinazzi,15,0,19,55,RAS
2019,Chinese Grand Prix,George Russell,16,0,17,54,RAS
2019,Chinese Grand Prix,Robert Kubica,17,0,18,54,RAS
2019,Chinese Grand Prix,Lando Norris,18,0,15,50,Collision
2019,Chinese Grand Prix,Daniil Kvyat,19,0,11,41,Collision
2019,Chinese Grand Prix,Nico Hülkenberg,20,0,8,16,Power Unit
2019,Azerbaijan Grand Prix,Valtteri Bottas,1,25,1,51,RAS
2019,Azerbaijan Grand Prix,Lewis Hamilton,2,18,2,51,RAS
2019,Azerbaijan Grand Prix,Sebastian Vettel,3,15,3,51,RAS
2019,Azerbaijan Grand Prix,Max Verstappen,4,12,4,51,RAS
2019,Azerbaijan Grand Prix,Charles Leclerc,5,11,8,51,RAS
2019,Azerbaijan Grand Prix,Sergio Pérez,6,8,5,51,RAS
2019,Azerbaijan Grand Prix,Carlos Sainz,7,6,9,51,RAS
2019,Azerbaijan Grand Prix,Lando Norris,8,4,7,51,RAS
2019,Azerbaijan Grand Prix,Lance Stroll,9,2,13,51,RAS
2019,Azerbaijan Grand Prix,Kimi Räikkönen,10,1,0,50,RAS
2019,Azerbaijan Grand Prix,Alexander Albon,11,0,11,50,RAS
2019,Azerbaijan Grand Prix,Antonio Giovinazzi,12,0,17,50,RAS
2019,Azerbaijan Grand Prix,Kevin Magnussen,13,0,12,50,RAS
2019,Azerbaijan Grand Prix,Nico Hülkenberg,14,0,15,50,RAS
2019,Azerbaijan Grand Prix,George Russell,15,0,16,49,RAS
2019,Azerbaijan Grand Prix,Robert Kubica,16,0,0,49,RAS
2019,Azerbaijan Grand Prix,Pierre Gasly,17,0,0,38,Transmission
2019,Azerbaijan Grand Prix,Romain Grosjean,18,0,14,38,Brakes
2019,Azerbaijan Grand Prix,Daniil Kvyat,19,0,6,33,Collision
2019,Azerbaijan Grand Prix,Daniel Ricciardo,20,0,10,31,Collision
2019,Spanish Grand Prix,Lewis Hamilton,1,26,2,66,RAS
2019,Spanish Grand Prix,Valtteri Bottas,2,18,1,66,RAS
2019,Spanish Grand Prix,Max Verstappen,3,15,4,66,RAS
2019,Spanish Grand Prix,Sebastian Vettel,4,12,3,66,RAS
2019,Spanish Grand Prix,Charles Leclerc,5,10,5,66,RAS
2019,Spanish Grand Prix,Pierre Gasly,6,8,6,66,RAS
2019,Spanish Grand Prix,Kevin Magnussen,7,6,8,66,RAS
2019,Spanish Grand Prix,Carlos Sainz,8,4,12,66,RAS
2019,Spanish Grand Prix,Daniil Kvyat,9,2,9,66,RAS
2019,Spanish Grand Prix,Romain Grosjean,10,1,7,66,RAS
2019,Spanish Grand Prix,Alexander Albon,11,0,11,66,RAS
2019,Spanish Grand Prix,Daniel Ricciardo,12,0,13,66,RAS
2019,Spanish Grand Prix,Nico Hülkenberg,13,0,0,66,RAS
2019,Spanish Grand Prix,Kimi Räikkönen,14,0,14,66,RAS
2019,Spanish Grand Prix,Sergio Pérez,15,0,15,66,RAS
2019,Spanish Grand Prix,Antonio Giovinazzi,16,0,18,66,RAS
2019,Spanish Grand Prix,George Russell,17,0,19,65,RAS
2019,Spanish Grand Prix,Robert Kubica,18,0,17,65,RAS
2019,Spanish Grand Prix,Lance Stroll,19,0,16,44,Collision
2019,Spanish Grand Prix,Lando Norris,20,0,10,44,Collision
2019,Monaco Grand Prix,Lewis Hamilton,1,25,1,78,RAS
2019,Monaco Grand Prix,Sebastian Vettel,2,18,4,78,RAS
2019,Monaco Grand Prix,Valtteri Bottas,3,15,2,78,RAS
2019,Monaco Grand Prix,Max Verstappen,4,12,3,78,RAS
2019,Monaco Grand Prix,Pierre Gasly,5,11,8,78,RAS
2019,Monaco Grand Prix,Carlos Sainz,6,8,9,78,RAS
2019,Monaco Grand Prix,Daniil Kvyat,7,6,7,78,RAS
2019,Monaco Grand Prix,Alexander Albon,8,4,10,78,RAS
2019,Monaco Grand Prix,Daniel Ricciardo,9,2,6,78,RAS
2019,Monaco Grand Prix,Romain Grosjean,10,1,13,78,RAS
