sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
1957,Argentine Grand Prix,Juan Fangio,1,8,2,100,RAS
1957,Argentine Grand Prix,Jean Behra,2,6,3,100,RAS
1957,Argentine Grand Prix,Carlos Menditeguy,3,4,8,99,RAS
1957,Argentine Grand Prix,Harry Schell,4,3,9,98,RAS
1957,Argentine Grand Prix,Alfonso de Portago,5,1,10,98,RAS
1957,Argentine Grand Prix,José Froilán González,5,1,10,98,RAS
1957,Argentine Grand Prix,Wolfgang von Trips,6,0,11,98,RAS
1957,Argentine Grand Prix,Peter Collins,6,0,11,98,RAS
1957,Argentine Grand Prix,Cesare Perdisa,6,0,11,98,RAS
1957,Argentine Grand Prix,Jo Bonnier,7,0,13,95,RAS
1957,Argentine Grand Prix,Stirling Moss,8,1,1,93,RAS
1957,Argentine Grand Prix,Alessandro de Tomaso,9,0,12,91,RAS
1957,Argentine Grand Prix,Luigi Piotti,10,0,14,90,RAS
1957,Argentine Grand Prix,Eugenio Castellotti,11,0,4,75,Wheel
1957,Argentine Grand Prix,Mike Hawthorn,12,0,7,35,Clutch
1957,Argentine Grand Prix,Luigi Musso,13,0,6,31,Clutch
1957,Argentine Grand Prix,Peter Collins,14,0,5,26,Clutch
1957,Monaco Grand Prix,Juan Fangio,1,9,1,105,RAS
1957,Monaco Grand Prix,Tony Brooks,2,6,4,105,RAS
1957,Monaco Grand Prix,Masten Gregory,3,4,10,103,RAS
1957,Monaco Grand Prix,Stuart Lewis-Evans,4,3,13,102,RAS
1957,Monaco Grand Prix,Maurice Trintignant,5,2,6,100,RAS
1957,Monaco Grand Prix,Jack Brabham,6,0,15,100,RAS
1957,Monaco Grand Prix,Mike Hawthorn,7,0,9,95,Engine
1957,Monaco Grand Prix,Wolfgang von Trips,7,0,9,95,Engine
1957,Monaco Grand Prix,Harry Schell,8,0,14,64,Oil leak
1957,Monaco Grand Prix,Giorgio Scarlatti,8,0,14,64,Oil leak
1957,Monaco Grand Prix,Ron Flockhart,9,0,11,60,Engine
1957,Monaco Grand Prix,Carlos Menditeguy,10,0,7,51,Spun off
1957,Monaco Grand Prix,Ivor Bueb,11,0,16,47,Fuel leak
1957,Monaco Grand Prix,Harry Schell,12,0,8,23,Suspension
1957,Monaco Grand Prix,Horace Gould,13,0,12,10,Accident
1957,Monaco Grand Prix,Peter Collins,14,0,2,4,Accident
1957,Monaco Grand Prix,Stirling Moss,15,0,3,4,Accident
1957,Monaco Grand Prix,Mike Hawthorn,16,0,5,4,Accident
1957,Indianapolis 500,Sam Hanks,1,8,13,200,RAS
1957,Indianapolis 500,Jim Rathmann,2,7,32,200,RAS
1957,Indianapolis 500,Jimmy Bryan,3,4,15,200,RAS
1957,Indianapolis 500,Paul Russo,4,3,10,200,RAS
1957,Indianapolis 500,Andy Linden,5,2,12,200,RAS
1957,Indianapolis 500,Johnny Boyd,6,0,5,200,RAS
1957,Indianapolis 500,Marshall Teague,7,0,28,200,RAS
1957,Indianapolis 500,Pat O'Connor,8,0,1,200,RAS
1957,Indianapolis 500,Bob Veith,9,0,16,200,RAS
1957,Indianapolis 500,Gene Hartley,10,0,14,200,RAS
1957,Indianapolis 500,Jack Turner,11,0,19,200,RAS
1957,Indianapolis 500,Johnny Thomson,12,0,11,199,RAS
1957,Indianapolis 500,Bob Christie,13,0,33,197,RAS
1957,Indianapolis 500,Chuck Weyant,14,0,25,196,RAS
1957,Indianapolis 500,Tony Bettenhausen,15,0,22,195,RAS
1957,Indianapolis 500,Johnnie Parsons,16,0,17,195,RAS
1957,Indianapolis 500,Don Freeland,17,0,21,192,RAS
1957,Indianapolis 500,Jimmy Reece,18,0,6,182,Throttle
1957,Indianapolis 500,Don Edmunds,19,0,27,170,Spun off
1957,Indianapolis 500,Johnnie Tolan,20,0,31,138,Clutch
1957,Indianapolis 500,Al Herman,21,0,30,111,Accident
1957,Indianapolis 500,Fred Agabashian,22,0,4,107,Fuel leak
1957,Indianapolis 500,Eddie Sachs,23,0,2,105,Fuel leak
1957,Indianapolis 500,Mike Magill,24,0,18,101,Accident
1957,Indianapolis 500,Eddie Johnson,25,0,20,93,Wheel bearing
1957,Indianapolis 500,Bill Cheesbourg,26,0,23,81,Fuel leak
1957,Indianapolis 500,Al Keller,27,0,8,75,Accident
1957,Indianapolis 500,Jimmy Daywalt,28,0,29,53,Accident
1957,Indianapolis 500,Ed Elisian,29,0,7,51,DNF
1957,Indianapolis 500,Rodger Ward,30,0,24,27,Turbo
1957,Indianapolis 500,Troy Ruttman,31,0,3,13,Engine
1957,Indianapolis 500,Eddie Russo,32,0,26,0,Accident
1957,Indianapolis 500,Elmer George,33,0,9,0,Accident
1957,French Grand Prix,Juan Fangio,1,8,1,77,RAS
1957,French Grand Prix,Luigi Musso,2,7,3,77,RAS
1957,French Grand Prix,Peter Collins,3,4,5,77,RAS
1957,French Grand Prix,Mike Hawthorn,4,3,7,76,RAS
1957,French Grand Prix,Harry Schell,5,2,4,70,RAS
1957,French Grand Prix,Jean Behra,6,0,2,69,RAS
1957,French Grand Prix,Jack Brabham,7,0,15,68,RAS
1957,French Grand Prix,Mike MacDowel,7,0,15,68,RAS
1957,French Grand Prix,Carlos Menditeguy,8,0,9,30,Engine
1957,French Grand Prix,Stuart Lewis-Evans,9,0,10,30,Steering
1957,French Grand Prix,Roy Salvadori,10,0,6,25,Engine
