sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
1997,Australian Grand Prix,David Coulthard,1,10,4,58,RAS
1997,Australian Grand Prix,Michael Schumacher,2,6,3,58,RAS
1997,Australian Grand Prix,Mika Häkkinen,3,4,6,58,RAS
1997,Australian Grand Prix,Gerhard Berger,4,3,10,58,RAS
1997,Australian Grand Prix,Olivier Panis,5,2,9,58,RAS
1997,Australian Grand Prix,Nicola Larini,6,1,13,58,RAS
1997,Australian Grand Prix,Shinji Nakano,7,0,16,56,RAS
1997,Australian Grand Prix,Heinz-Harald Frentzen,8,0,2,55,Brakes
1997,Australian Grand Prix,Jarno Trulli,9,0,17,55,RAS
1997,Australian Grand Prix,Pedro Diniz,10,0,22,54,RAS
1997,Australian Grand Prix,Rubens Barrichello,11,0,11,49,Engine
1997,Australian Grand Prix,Mika Salo,12,0,18,42,Engine
1997,Australian Grand Prix,Jan Magnussen,13,0,19,36,Suspension
1997,Australian Grand Prix,Jean Alesi,14,0,8,34,Fuel
1997,Australian Grand Prix,Ukyo Katayama,15,0,15,32,Electrical
1997,Australian Grand Prix,Giancarlo Fisichella,16,0,14,14,Spun off
1997,Australian Grand Prix,Jos Verstappen,17,0,21,2,Spun off
1997,Australian Grand Prix,Ralf Schumacher,18,0,12,1,Gearbox
1997,Australian Grand Prix,Jacques Villeneuve,19,0,1,0,Collision
1997,Australian Grand Prix,Eddie Irvine,20,0,5,0,Collision
1997,Australian Grand Prix,Johnny Herbert,21,0,7,0,Collision
1997,Australian Grand Prix,Damon Hill,22,0,20,0,Throttle
1997,Brazilian Grand Prix,Jacques Villeneuve,1,10,1,72,RAS
1997,Brazilian Grand Prix,Gerhard Berger,2,6,3,72,RAS
1997,Brazilian Grand Prix,Olivier Panis,3,4,5,72,RAS
1997,Brazilian Grand Prix,Mika Häkkinen,4,3,4,72,RAS
1997,Brazilian Grand Prix,Michael Schumacher,5,2,2,72,RAS
